type,cost,country,carrier,units,2030,2040,2050
generators,capital,GB,onwind,Euro,16645247942.493494,37521529807.00238,56258356466.05297
generators,capital,GB,ror,Euro,2629115427.8971877,2629115427.8971877,2629115427.8971877
generators,capital,GB,solar,Euro,843189705.623364,1050905334.3944112,5058737412.366997
generators,capital,GB,solar rooftop,Euro,1922773365.8423808,4229699741.3348,6248326407.222149
generators,capital,GR,onwind,Euro,820262578.0422478,127748791.67835817,568.0052619348255
generators,capital,GR,residential urban decentral solar thermal,Euro,467.0238548344232,5584300.368834018,5584568.830147192
generators,capital,GR,ror,Euro,30841379.537393764,30841379.537393764,30841379.537393764
generators,capital,GR,solar,Euro,1061042812.1922553,1180865496.0092201,2896750915.4180036
generators,capital,GR,solar rooftop,Euro,398899039.35925424,714027375.4769857,989773306.995471
generators,capital,GR,urban central solar thermal,Euro,48980544.90559773,76269011.79367185,76269599.61776356
generators,capital,HR,onwind,Euro,174320111.40218434,40617044.798239395,102.30627281046016
generators,capital,HR,ror,Euro,81715515.49266751,81715515.49266751,81715515.49266751
generators,capital,HR,solar,Euro,10480022.239018727,141864912.7855583,318685652.6053314
generators,capital,HR,solar rooftop,Euro,186678494.09620005,334153609.11897486,463198374.8174263
generators,capital,HR,urban central solar thermal,Euro,2649.931985012852,365.45648883256354,31.10345885117504
generators,capital,HU,onwind,Euro,56319469.07242025,386.19935704650163,446.4961499472085
generators,capital,HU,ror,Euro,5893066.701131495,5893066.701131495,5893066.701131495
generators,capital,HU,solar,Euro,171922257.06033328,171920922.94896835,233390926.10618216
generators,capital,HU,solar rooftop,Euro,477359404.32248807,854471037.8468251,1184454056.074737
generators,capital,IE,offwind,Euro,7395714.7450436205,0.0,0.0
generators,capital,IE,onwind,Euro,772301130.8560317,183716531.6451398,7803790863.878702
generators,capital,IE,ror,Euro,64614335.40326919,64614335.40326919,64614335.40326919
generators,capital,IE,solar,Euro,344.58886308439344,572.8933319068344,989848482.7064264
generators,capital,IE,solar rooftop,Euro,202684635.46806428,362804539.8501085,502913842.0584589
generators,capital,IT,offwind,Euro,7833838.782575787,7833838.782575787,0.0
generators,capital,IT,offwind-ac,Euro,1868.0292698985825,1146.5772117753204,1065.4845694982328
generators,capital,IT,onwind,Euro,1975325636.1839075,1721110047.6244411,1667354286.0066583
generators,capital,IT,residential rural solar thermal,Euro,822.1931886914443,569691.535700162,569761.1392445698
generators,capital,IT,ror,Euro,2220965217.8621206,2220965217.8621206,2220965217.8621206
generators,capital,IT,solar,Euro,6654122528.179357,7054132211.830988,11516926496.525578
generators,capital,IT,solar rooftop,Euro,2663635424.82505,4767894649.324841,6609179148.37276
generators,capital,IT,urban central solar thermal,Euro,153.11098361781174,356205559.2299634,356209450.32982326
generators,capital,LT,onwind,Euro,136679157.1038778,46064434.314128265,607.4057804348683
generators,capital,LT,ror,Euro,30213184.60986198,30213184.60986198,30213184.60986198
generators,capital,LT,solar,Euro,22852335.03781169,22852204.015614368,22852198.74827213
generators,capital,LT,solar rooftop,Euro,135525406.5528774,242589825.9917444,336274125.0776566
generators,capital,LU,onwind,Euro,29086058.07779653,4875612.106605107,277.4857570367469
generators,capital,LU,ror,Euro,9243439.647967678,9243439.647967678,9243439.647967678
generators,capital,LU,solar,Euro,18037962.800208025,18038210.310532287,67090877.97175938
generators,capital,LU,solar rooftop,Euro,28061142.582982138,50229310.114695586,69627062.23957868
generators,capital,LV,onwind,Euro,20497461.46914459,9920062.270437576,845.7560883166956
generators,capital,LV,ror,Euro,459509632.46741575,459509632.46741575,459509632.46741575
generators,capital,LV,solar,Euro,2940809.450847956,2940958.6570056006,2951875.6735288766
generators,capital,LV,solar rooftop,Euro,87687162.59073694,156959598.22726178,217574875.25804335
generators,capital,ME,onwind,Euro,19837822.05958151,49.503562222475345,42.387591052612024
generators,capital,ME,ror,Euro,93439508.3637276,93439508.3637276,93439508.3637276
generators,capital,ME,solar,Euro,1130849.8472087367,1130729.577904828,210208805.2237643
generators,capital,ME,solar rooftop,Euro,33840427.6811204,60574202.85721108,83966986.45284683
generators,capital,ME,urban central solar thermal,Euro,875258.9838144744,875397.8455000834,875289.8971576509
generators,capital,MK,onwind,Euro,6220378.53965077,41.99783610980775,34.96058289386465
generators,capital,MK,solar,Euro,4909105.736854096,80581309.1531621,734212311.3507454
generators,capital,MK,solar rooftop,Euro,97887853.74856605,175218789.3339513,242885476.3173235
generators,capital,MK,urban central solar thermal,Euro,5261639.610369036,5261830.006350866,5261660.245579441
generators,capital,NL,offwind,Euro,754538992.4407599,32723102.939379513,0.0
generators,capital,NL,offwind-ac,Euro,1124.668352785165,1155.9544736250728,1443.6264077000021
generators,capital,NL,offwind-dc,Euro,1597.9657568540404,1989.652062844289,2104.987297632507
generators,capital,NL,onwind,Euro,3442001713.2147326,3738173850.6523676,4295826463.884463
generators,capital,NL,solar,Euro,1085221259.6433005,1085223589.6248617,1538106831.292531
generators,capital,NL,solar rooftop,Euro,740759206.5561765,1325955471.9855573,1838018226.9867287
generators,capital,NO,offwind,Euro,18782767.60645999,18782767.60645999,0.0
generators,capital,NO,offwind-ac,Euro,1602.0534915162318,1162.1946712150423,966.863683505496
generators,capital,NO,offwind-dc,Euro,1876.616454037744,853299182.1418998,853299226.4930813
generators,capital,NO,onwind,Euro,851965795.9572084,174844131.78097048,1841.8981649694488
generators,capital,NO,ror,Euro,62969062.97401928,62969062.97401928,62969062.97401928
generators,capital,NO,solar,Euro,16555966.320673319,103321025.5380704,103321819.792768
generators,capital,NO,solar rooftop,Euro,96025296.74692558,256986895.45203248,361017517.44334584
generators,capital,PL,offwind-dc,Euro,1005.0380185889471,950.8300281511822,1135.8612316368044
generators,capital,PL,onwind,Euro,3164403455.623226,6494849126.82099,9782957986.894373
generators,capital,PL,ror,Euro,54563326.87963631,54563326.87963631,54563326.87963631
generators,capital,PL,solar,Euro,642919059.3719625,642918269.3358924,642917980.1971087
generators,capital,PL,solar rooftop,Euro,1826796236.5875933,3269956678.395769,4532761572.520244
generators,capital,PT,offwind,Euro,7337018.596273433,0.0,0.0
generators,capital,PT,onwind,Euro,934025510.442323,55995237.5060527,930.4538312588833
generators,capital,PT,ror,Euro,789282055.3774341,789282055.3774341,789282055.3774341
generators,capital,PT,solar,Euro,621521522.2696837,910310343.1031766,2080553573.1724365
generators,capital,PT,solar rooftop,Euro,422252288.0546212,755829580.0778985,1047718851.3227555
generators,capital,PT,urban central solar thermal,Euro,146.3954228347263,27664868.54231301,27664911.017231457
generators,capital,RO,onwind,Euro,547307014.8977494,400.9789392377163,379.2604305257339
generators,capital,RO,ror,Euro,260386797.46192437,260386797.46192437,260386797.46192437
generators,capital,RO,solar,Euro,82275650.99719329,82275671.64806616,672229652.4763994
generators,capital,RO,solar rooftop,Euro,882947608.4010673,1628314412.966754,2280530805.140269
generators,capital,RS,onwind,Euro,66910671.30355377,223.29162707023573,217.1110427594508
generators,capital,RS,ror,Euro,511051530.5691902,511051530.5691902,511051530.5691902
