countries,year,carriers,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
LT,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.202769287802333,0.0,0.0,0.0,0.0,1.4463597504154793,0.0,0.0,0.0,1.0452586270902686,0.0,0.0
LU,2030,elec,0.0,0.0,0.0,2.5804395558274784,0.0,0.0,0.0,0.4788245535970965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7384311718801175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3668300849344504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,2030,elec,1.227343880944784,0.0,4.346003812652238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65476329415789,0.0,0.0,0.0
MK,2030,elec,0.22621969339325612,0.0,0.0,0.0,0.601919466614369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7161110598686682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.654734242921209,0.0,0.0,0.0
NL,2030,elec,0.0,0.0,0.0,12.686179209513462,0.0,0.0,0.0,12.7763318599959,0.0,0.0,0.0,0.0,0.0,6.932028445146904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8188137606836752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.18739723019924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1997070894902975,0.0,0.0,0.0,0.0,0.0,8.63963192837733,0.0,0.0
PL,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,5.451129875958125,8.932783625465154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.049181725194792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9202203518483567,0.0,5.07343696372474
PT,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.303852455790376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,2030,elec,0.0,0.0,0.0,0.0,0.6288824873312167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800104867978012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.122490903021328,0.0,0.0,0.0
RS,2030,elec,0.26914795213578585,0.0,2.314861923410744,0.0,0.1992030015025937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0064344486453263,2.107331798952719,0.0,0.0,0.0,0.0,0.0,0.4031201255384871,2.070552361848605,0.0,0.0,0.0,0.0,1.1009377718833635,0.0,0.0,0.0,0.0
SE,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7363582585622885,12.163833410661038,0.0,0.0,2.9341490172356677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2754088982290392,0.0,0.0,0.0,0.0,0.0,13.130701966906908,1.2009226228412353,0.0,0.0,0.0,0.0,0.0,0.0
SI,2030,elec,0.0,7.9581013754480265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.864287831113407,0.0,0.0,6.977000469582952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,3.8374461658984824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.721451053259786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0405248049658313,0.0,0.0,0.0,0.0,0.0,0.0
AL,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7021119614806641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.027585301581565,0.6631731197392863,0.0,0.0,0.0,0.0,0.0,5.750983798769672,0.0,0.0,0.0
AT,2040,elec,0.0,0.0,0.0,0.0,0.0,1.735088618792525,14.80225051642033,14.225947812460582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.773458276665961,0.0,1.3625941969553275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.095504402647723,0.0
BA,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.578994600614116,0.0,0.0,0.0,0.0,0.0,0.0,3.1658788134877254,0.0,0.0,0.0,0.0,0.0,0.0,3.8857138727872655,0.0,0.0,0.0
BE,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.86673727103732,0.0,0.0,0.0,0.0,5.923852023770386,12.080244108031199,0.0,0.0,0.0,0.0,0.0,0.0,10.246592183740477,0.0,0.0,0.0,39.159905936571946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0412186484399117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8642485644687803,0.0,0.0,0.0,0.0,11.479248450805706,2.4162617890144893,0.0,0.0,0.0
CH,2040,elec,0.0,21.966487492609062,0.0,0.0,0.0,0.0,0.0,56.7328372565493,0.0,0.0,0.0,0.0,13.77702045715786,0.0,0.0,0.0,0.0,0.0,18.795882357305057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,2040,elec,0.0,1.3906868906297196,0.0,0.0,0.0,0.0,0.0,3.78901670949862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34919882609481,0.0,0.0,0.0,0.0,0.0,5.663768582084275
DE,2040,elec,0.0,34.45417853468146,0.0,15.684412953544312,0.0,17.834427362728416,27.17869292199375,0.0,2.243848211196833,0.0,0.0,0.0,5.486854405145736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6094021696147447,0.0,0.0,0.0,16.405162206756707,0.0,24.345410210101072,0.0,0.0,0.0,0.7839936183122539,0.0,0.0
DK,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.556684377262922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.649328142670825,0.0,0.0,0.0,0.0,0.4167752456417586,0.0,0.0
