carrier,region,2030,2040,2050,units
offwind,AL,6.778650492462767,6.778650492462767,6.778650492462767,GW_e
offwind,BE,9.423245410293529,6.50365438768888,7.161445410293528,GW_e
offwind,BG,3.597468118406004,3.597468118406004,3.597468118406004,GW_e
offwind,DE,71.55341242966331,63.766412429663305,63.424412429663306,GW_e
offwind,DK,119.20266641447634,117.49461641447634,116.88981641447634,GW_e
offwind,EE,42.714146738059874,42.714146738059874,42.714146738059874,GW_e
offwind,ES,24.583382808823337,24.583382808823337,24.583382808823337,GW_e
offwind,FI,158.2321725675717,158.1648725675717,158.1648725675717,GW_e
offwind,FR,72.61052105629186,72.61052105629186,72.13052105629185,GW_e
offwind,GB,257.7268842217027,247.34788422170269,243.8028842217027,GW_e
offwind,GR,50.72491659647506,50.72491659647506,50.72491659647506,GW_e
offwind,HR,29.270508428064016,29.270508428064016,29.270508428064016,GW_e
offwind,IE,35.4862029207275,35.4610029207275,35.4610029207275,GW_e
offwind,IT,115.62008748245363,115.62008748245363,115.59339462799312,GW_e
offwind,LT,4.403991884672442,4.403991884672442,4.403991884672442,GW_e
offwind,LV,27.134361381101833,27.134361381101833,27.134361381101833,GW_e
offwind,ME,1.475693965407857,1.475693965407857,1.475693965407857,GW_e
offwind,NL,135.99817579925167,133.53867579925168,133.42717579925167,GW_e
offwind,NO,95.01042616360176,95.01042616360176,94.94642616360177,GW_e
offwind,PL,21.37192801003052,21.37192801003052,21.37192801003052,GW_e
offwind,PT,11.19291401624679,11.16791401624679,11.16791401624679,GW_e
offwind,RO,6.958967700899068,6.958967700899068,6.958967700899068,GW_e
offwind,SE,176.24444234580596,176.04044234580596,176.04044234580596,GW_e
offwind,SI,0.3683863785347205,0.3683863785347205,0.3683863785347205,GW_e
onwind,AL,56.23901970713419,56.23901970713419,56.23901970713419,GW_e
onwind,AT,116.39109608506364,116.39109608506362,116.39109608506362,GW_e
onwind,BA,115.35218375449003,115.35218375449004,115.35218375449003,GW_e
onwind,BE,12.930214654189864,12.294579197770236,12.897304468992687,GW_e
onwind,BG,121.2486301923879,121.2486301923879,121.2486301923879,GW_e
onwind,CH,64.69387921008843,64.69387921008841,64.69387921008841,GW_e
onwind,CZ,86.71969362046855,86.71969362046855,86.71969362046855,GW_e
onwind,DE,407.7469584563651,397.19943649221125,407.7469584563651,GW_e
onwind,DK,61.185928430102265,56.59607773731027,61.18592843010227,GW_e
onwind,EE,78.05086991470925,75.01369001995224,78.05086991470925,GW_e
onwind,ES,778.1987595372614,778.1987595372615,778.1987595372613,GW_e
onwind,FI,639.5624849450879,639.5624849450879,639.562484945088,GW_e
onwind,FR,793.8631960781977,786.8790024360612,793.8631960781978,GW_e
onwind,GB,362.0982773405899,356.4139613603352,362.0982773405899,GW_e
onwind,GR,174.66984591798814,174.66984591798817,174.66984591798817,GW_e
onwind,HR,63.892242079647886,63.892242079647886,63.892242079647886,GW_e
onwind,HU,114.27086923597396,114.27086923597396,114.27086923597396,GW_e
onwind,IE,117.43494971886517,117.4349497188652,117.43494971886518,GW_e
onwind,IT,434.35309990522086,434.35309990522086,434.35309990522086,GW_e
onwind,LT,106.9690509423178,106.9690509423178,106.9690509423178,GW_e
onwind,LU,2.538721168003723,2.5387211680037227,2.5387211680037227,GW_e
onwind,LV,124.71585579169323,124.71585579169322,124.71585579169322,GW_e
onwind,ME,31.46405776598788,31.464057765987885,31.464057765987885,GW_e
onwind,MK,55.56121833025698,55.56121833025698,55.56121833025698,GW_e
onwind,NL,38.58975332650549,36.46800256223723,38.58975332650549,GW_e
onwind,NO,568.6043666256934,568.6043666256934,568.6043666256934,GW_e
onwind,PL,351.23763766369683,350.53827439741923,351.23763766369683,GW_e
onwind,PT,134.80872545937248,134.80872545937245,134.80872545937245,GW_e
onwind,RO,270.67960079868874,270.6796007986888,270.6796007986888,GW_e
onwind,RS,174.9046149876932,174.9046149876932,174.9046149876932,GW_e
onwind,SE,781.4898769301441,781.4898769301441,781.489876930144,GW_e
onwind,SI,23.945831026885973,23.945831026885973,23.945831026885973,GW_e
onwind,SK,43.43853893858592,43.43853893858592,43.43853893858592,GW_e
solar,AL,20.570161008199406,21.051029899612992,23.686198795184183,GW_e
solar,AT,67.14707235535491,75.77765669086996,84.40824134264031,GW_e
solar,BA,33.225517770168324,37.058560797759476,40.89160375042553,GW_e
solar,BE,46.558018833285786,57.791634060556405,69.0252504366396,GW_e
solar,BG,85.39172730551753,92.74560560582223,100.09948427665834,GW_e
solar,CH,49.436041485187026,57.20426152971143,64.96315225605895,GW_e
solar,CZ,80.16841553245173,90.53427125025327,100.90012793179653,GW_e
solar,DE,439.82324416451206,508.3458027230862,588.4577703656184,GW_e
solar,DK,52.04131225028433,55.99528843816532,59.94926490019528,GW_e
solar,EE,21.839303214763934,22.99950433191023,24.159705436290388,GW_e
solar,ES,405.1426737944838,439.8159190591533,481.7802688076547,GW_e
solar,FI,38.560371717267365,42.682914418974384,47.53831394084793,GW_e
solar,FR,616.3783482937334,663.1631333317092,725.3408303327781,GW_e
solar,GB,341.2446832439119,380.98618880981303,441.3430839104062,GW_e
solar,GR,76.07985731830078,77.39147875773943,85.63627610490141,GW_e
solar,HR,30.89221006225181,34.750645693505675,38.609081440959116,GW_e
solar,HU,110.10174309380362,119.96822794771963,129.83471292958356,GW_e
solar,IE,77.58801892266919,81.77728358962474,85.96654876057305,GW_e
solar,IT,312.7034513551381,362.54041062191743,417.5834881915296,GW_e
solar,LT,61.80764939060046,64.60880792852136,67.40996650486476,GW_e
