Generator,year,carrier,bus,capital_cost,marginal_cost,p_nom_opt,build_year,p_nom,cf,p_tot,p_nom_max,LCOE,opex,capex,totex
GB0 12 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.44889175015449756,54490.27415778483,inf,82.3022356843997,817.3541123667725,4066800.554231564,4067617.9083439307
GB0 11 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.40267346948958027,48879.908666180214,inf,82.3022356843997,733.1986299927032,4066800.554231564,4067533.7528615566
GB0 0 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.423633296171706,51424.18955754345,inf,82.3022356843997,771.3628433631518,4066800.554231564,4067571.917074927
DK2 0 offwind-ac-2005,2030,offwind,DK1 0,293480.74385093735,0.015000000000000001,174.17141228396508,2005,174.17141228396508,0.3756785470603633,573188.3768111137,inf,82.3022356843997,8597.825652166706,51115955.63466636,51124553.46031853
DK1 0 offwind-ac-2005,2030,offwind,DK0 0,293480.74385093735,0.015000000000000001,199.22858771603495,2005,199.22858771603495,0.4222388046629905,736909.0768115695,inf,82.3022356843997,11053.636152173543,58469754.119273655,58480807.755425826
SE2 6 offwind-ac-2000,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,2.6,2000,2.6,0.3435829986712698,7825.44637773684,inf,82.3022356843997,117.38169566605261,763049.9340124371,763167.3157081031
SE2 5 offwind-ac-2000,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,2.6,2000,2.6,0.3785623966803783,8622.137146792296,inf,82.3022356843997,129.33205720188445,763049.9340124371,763179.266069639
SE2 2 offwind-ac-2000,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,2.6,2000,2.6,0.3079920711707598,7014.827412985223,inf,82.3022356843997,105.22241119477836,763049.9340124371,763155.1564236319
SE2 1 offwind-ac-2000,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,2.6,2000,2.6,0.3278557342193558,7467.242202580049,inf,82.3022356843997,112.00863303870074,763049.9340124371,763161.9426454759
SE2 0 offwind-ac-2000,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,2.6,2000,2.6,0.31846589207029785,7253.379157793104,inf,82.3022356843997,108.80068736689657,763049.9340124371,763158.734699804
DK2 0 offwind-ac-2000,2030,offwind,DK1 0,293480.74385093735,0.015000000000000001,23.299041359357407,2000,23.299041359357407,0.32696198544639843,66732.81119943448,inf,82.3022356843997,1000.9921679915172,6837819.989157966,6838820.981325958
GB0 6 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.37461183937385145,45473.55085765703,inf,82.3022356843997,682.1032628648554,4066800.554231564,4067482.657494429
GB0 8 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.35778275766080436,43430.694699012805,inf,82.3022356843997,651.4604204851921,4066800.554231564,4067452.014652049
GB0 9 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.40315283006281377,48938.097503571276,inf,82.3022356843997,734.0714625535692,4066800.554231564,4067534.6256941175
GB5 0 offwind-ac-2005,2030,offwind,GB5 0,293480.74385093735,0.015000000000000001,16.000192679898515,2005,16.000192679898515,0.42624741412008627,59743.557015813705,inf,82.3022356843997,896.1533552372057,4695748.449454939,4696644.602810176
GB0 15 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.42780040878553216,278691.1551091173,inf,82.3022356843997,4180.36732663676,21825162.97437606,21829343.341702696
GB0 14 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.42491554361692135,276811.80579185835,inf,82.3022356843997,4152.177086877876,21825162.97437606,21829315.15146294
GB0 13 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.42160936416007144,274657.99071149586,inf,82.3022356843997,4119.869860672438,21825162.97437606,21829282.84423673
GB0 12 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.4555532994698377,296770.81329453917,inf,82.3022356843997,4451.562199418088,21825162.97437606,21829614.536575478
GB0 11 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.4113640585062718,267983.67248162517,inf,82.3022356843997,4019.755087224378,21825162.97437606,21829182.729463283
GB0 0 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.4304942016246493,280446.03009881044,inf,82.3022356843997,4206.690451482157,21825162.97437606,21829369.66482754
FI2 4 offwind-ac-2010,2030,offwind,FI1 0,293480.74385093735,0.015000000000000001,5.260000000000002,2010,5.260000000000002,0.32191261166194396,14832.960555114396,inf,82.3022356843997,222.49440832671596,1543708.712655931,1543931.2070642577
FI2 3 offwind-ac-2010,2030,offwind,FI1 0,293480.74385093735,0.015000000000000001,5.260000000000002,2010,5.260000000000002,0.3384125385734609,15593.237587372503,inf,82.3022356843997,233.89856381058758,1543708.712655931,1543942.6112197416
FI2 2 offwind-ac-2010,2030,offwind,FI1 0,293480.74385093735,0.015000000000000001,5.260000000000002,2010,5.260000000000002,0.3709324492351181,17091.67702287608,inf,82.3022356843997,256.3751553431412,1543708.712655931,1543965.0878112742
SE2 1 offwind-ac-2015,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,10.0,2015,10.0,0.32785639426572855,28720.22013767782,inf,82.3022356843997,430.8033020651674,2934807.4385093735,2935238.2418114385
FI2 1 offwind-ac-2010,2030,offwind,FI1 0,293480.74385093735,0.015000000000000001,5.260000000000002,2010,5.260000000000002,0.31977496757891166,14734.463046114064,inf,82.3022356843997,221.016945691711,1543708.712655931,1543929.7296016228
DK2 0 offwind-ac-2010,2030,offwind,DK1 0,293480.74385093735,0.015000000000000001,207.33581349818553,2010,207.33581349818553,0.3799221856763335,690038.1247949309,inf,82.3022356843997,10350.571871923965,60849068.77238671,60859419.34425863
DK1 0 offwind-ac-2010,2030,offwind,DK0 0,293480.74385093735,0.015000000000000001,237.16418650181447,2010,237.16418650181447,0.4238424310390176,880557.3493739233,inf,82.3022356843997,13208.36024060885,69603121.86935495,69616330.22959556
DE1 8 offwind-ac-2010,2030,offwind,DE0 0,293480.74385093735,0.015000000000000001,16.0,2010,16.0,0.3788888423932696,53105.06014984067,inf,82.3022356843997,796.5759022476101,4695691.901614998,4696488.477517245
DE1 7 offwind-ac-2010,2030,offwind,DE0 0,293480.74385093735,0.015000000000000001,16.0,2010,16.0,0.47344998498477076,66358.74989546547,inf,82.3022356843997,995.3812484319822,4695691.901614998,4696687.28286343
DE1 5 offwind-ac-2010,2030,offwind,DE0 0,293480.74385093735,0.015000000000000001,16.0,2010,16.0,0.356347114333239,49945.61154494678,inf,82.3022356843997,749.1841731742018,4695691.901614998,4696441.085788172
DE1 21 offwind-ac-2010,2030,offwind,DE0 0,293480.74385093735,0.015000000000000001,16.0,2010,16.0,0.35467188346866757,49710.81118696845,inf,82.3022356843997,745.6621678045268,4695691.901614998,4696437.563782802
DE1 15 offwind-ac-2010,2030,offwind,DE0 0,293480.74385093735,0.015000000000000001,16.0,2010,16.0,0.3942939410975403,55264.238784231246,inf,82.3022356843997,828.9635817634687,4695691.901614998,4696520.865196761
BE1 0 offwind-ac-2010,2030,offwind,BE0 0,293480.74385093735,0.015000000000000001,196.5,2010,196.5,0.417391390026605,718472.4953083963,inf,82.3022356843997,10777.087429625944,57668966.16670919,57679743.25413882
IE5 0 offwind-ac-2005,2030,offwind,IE5 0,293480.74385093735,0.015000000000000001,25.2,2005,25.2,0.37583128963747464,82965.50885005179,inf,82.3022356843997,1244.482632750777,7395714.7450436205,7396959.227676371
FI2 0 offwind-ac-2010,2030,offwind,FI1 0,293480.74385093735,0.015000000000000001,5.260000000000002,2010,5.260000000000002,0.3611173084290401,16639.418890869943,inf,82.3022356843997,249.59128336304917,1543708.712655931,1543958.303939294
SE2 2 offwind-ac-2015,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,10.0,2015,10.0,0.30799278550827924,26980.168010525267,inf,82.3022356843997,404.70252015787906,2934807.4385093735,2935212.141029531
SE2 5 offwind-ac-2015,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,10.0,2015,10.0,0.378563000489861,33162.11884291183,inf,82.3022356843997,497.4317826436774,2934807.4385093735,2935304.8702920172
SE2 6 offwind-ac-2015,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,10.0,2015,10.0,0.34358376905319166,30097.93816905959,inf,82.3022356843997,451.46907253589393,2934807.4385093735,2935258.9075819096
GB0 8 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.36314647200020317,744142.5585846234,inf,82.3022356843997,11162.138378769352,68651466.4988138,68662628.63719256
GB0 6 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.38151860846223484,781789.8708611818,inf,82.3022356843997,11726.848062917727,68651466.4988138,68663193.34687671
GB0 5 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.4275639917073815,876143.8903572983,inf,82.3022356843997,13142.158355359476,68651466.4988138,68664608.65716915
GB0 3 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.4173531962335901,855220.4116650772,inf,82.3022356843997,12828.306174976158,68651466.4988138,68664294.80498877
GB0 2 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.3912954330615648,801824.0769822163,inf,82.3022356843997,12027.361154733246,68651466.4988138,68663493.85996853
GB0 17 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.4144805815185655,849333.9855844597,inf,82.3022356843997,12740.009783766896,68651466.4988138,68664206.50859755
GB0 16 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.3667208979781649,751467.1030805708,inf,82.3022356843997,11272.006546208562,68651466.4988138,68662738.50536
GB0 15 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.4299280977011668,880988.3044398332,inf,82.3022356843997,13214.8245665975,68651466.4988138,68664681.3233804
GB0 14 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.42531347475749626,871532.2375660666,inf,82.3022356843997,13072.983563491,68651466.4988138,68664539.48237729
GB0 13 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.4232186047564786,867239.5291339201,inf,82.3022356843997,13008.592937008802,68651466.4988138,68664475.0917508
GB0 12 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.4579630498654266,938436.2012028177,inf,82.3022356843997,14076.543018042266,68651466.4988138,68665543.04183184
GB0 11 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.4130384590273296,846378.8564474208,inf,82.3022356843997,12695.682846711312,68651466.4988138,68664162.1816605
GB0 0 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.43172679003376474,884674.0996152994,inf,82.3022356843997,13270.111494229492,68651466.4988138,68664736.61030802
FR1 7 offwind-ac-2025,2030,offwind,FR0 0,293480.74385093735,0.015000000000000001,43.63636363636363,2025,43.63636363636363,0.3478135602593893,132953.31437988,inf,82.3022356843997,1994.2997156982,12806432.458949992,12808426.75866569
FR1 6 offwind-ac-2025,2030,offwind,FR0 0,293480.74385093735,0.015000000000000001,43.63636363636363,2025,43.63636363636363,0.27063613275028864,103451.89190803758,inf,82.3022356843997,1551.778378620564,12806432.458949992,12807984.237328613
FR1 4 offwind-ac-2025,2030,offwind,FR0 0,293480.74385093735,0.015000000000000001,43.63636363636363,2025,43.63636363636363,0.32102170795477336,122712.00705529372,inf,82.3022356843997,1840.680105829406,12806432.458949992,12808273.139055822
FR1 3 offwind-ac-2025,2030,offwind,FR0 0,293480.74385093735,0.015000000000000001,43.63636363636363,2025,43.63636363636363,0.42047913050360886,160730.05890377946,inf,82.3022356843997,2410.950883556692,12806432.458949992,12808843.409833549
FR1 22 offwind-ac-2025,2030,offwind,FR0 0,293480.74385093735,0.015000000000000001,43.63636363636363,2025,43.63636363636363,0.2583382535964803,98750.97170204367,inf,82.3022356843997,1481.264575530655,12806432.458949992,12807913.723525522
FR1 19 offwind-ac-2025,2030,offwind,FR0 0,293480.74385093735,0.015000000000000001,43.63636363636363,2025,43.63636363636363,0.3816261033012689,145878.31265101593,inf,82.3022356843997,2188.1746897652392,12806432.458949992,12808620.633639758
GB0 9 offwind-ac-2025,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,233.9215363774693,2025,233.9215363774693,0.41037484143333547,840920.6973730166,inf,82.3022356843997,12613.81046059525,68651466.4988138,68664080.30927439
GB5 0 offwind-ac-2025,2030,offwind,GB5 0,293480.74385093735,0.015000000000000001,270.09849071542965,2025,270.09849071542965,0.4688848821526763,1109411.067141187,inf,82.3022356843997,16641.166007117805,79268705.96817979,79285347.13418691
IT1 1 offwind-ac-2025,2030,offwind,IT0 0,293480.74385093735,0.015000000000000001,2.053296496962439,2025,2.053296496962439,0.0879839098286716,1582.5557916407695,inf,82.3022356843997,23.738336874611544,602602.9832750605,602626.7216119352
IT1 10 offwind-ac-2025,2030,offwind,IT0 0,293480.74385093735,0.015000000000000001,2.053296496962439,2025,2.053296496962439,0.2056876665641245,3699.6788233665766,inf,82.3022356843997,55.49518235049865,602602.9832750605,602658.478457411
NO2 4 offwind-ac-2025,2030,offwind,NO1 0,293480.74385093735,0.015000000000000001,9.142857142857142,2025,9.142857142857142,0.29789457245291245,23858.80187142869,inf,82.3022356843997,357.8820280714304,2683252.51520857,2683610.397236641
NO2 3 offwind-ac-2025,2030,offwind,NO1 0,293480.74385093735,0.015000000000000001,9.142857142857142,2025,9.142857142857142,0.34186450300670207,27380.416423668208,inf,82.3022356843997,410.70624635502315,2683252.51520857,2683663.221454925
NO2 2 offwind-ac-2025,2030,offwind,NO1 0,293480.74385093735,0.015000000000000001,9.142857142857142,2025,9.142857142857142,0.20972216631994764,16796.947903659348,inf,82.3022356843997,251.95421855489022,2683252.51520857,2683504.4694271246
