carrier,component,node,item,2030,2040,2050,units,sector
AC,generators,FR,offwind-dc,1.6930659473187097e-05,1.323413616394767e-05,1.9331699829647217e-05,TWh,Offwind
AC,generators,FR,onwind,123.73679596051056,328.14522882341396,469.9946858943571,TWh,Onwind
AC,generators,FR,ror,30.597946478544568,30.59777572910401,30.59774989264082,TWh,Hydroelectricity
AC,generators,FR,solar,121.7137723975813,122.23537839171362,309.4560546302103,TWh,Solar
AC,generators,GB,offwind,46.321234523714715,10.729539702384987,,TWh,Offwind
AC,generators,GB,offwind-ac,3.313431631198053e-05,2.648374125953884e-05,3.067215495740753e-05,TWh,Offwind
AC,generators,GB,offwind-dc,3.2919009015835124e-05,3.435809344124907e-05,20.761309632763698,TWh,Offwind
AC,generators,GB,onwind,352.845151801147,698.435502028252,1072.3585079004583,TWh,Onwind
AC,generators,GB,ror,4.59454096453243,4.5944586970406265,4.594460258485685,TWh,Hydroelectricity
AC,generators,GB,solar,12.884327720349939,17.02068323541589,107.96473498136965,TWh,Solar
AC,generators,GB,offwind,4.356648134387451,1.0407447743458456,,TWh,Offwind
AC,generators,GB,offwind-ac,4.006510085367821e-06,2.6429033476932106e-06,3.559269941941326e-06,TWh,Offwind
AC,generators,GB,offwind-dc,4.804132294031096e-06,3.5318442553410277e-06,5.671788325507526e-06,TWh,Offwind
AC,generators,GB,onwind,2.5831991893366,86.37335353723117,87.78964035219308,TWh,Onwind
AC,generators,GB,solar,0.6061786821263777,0.6059247217909396,0.6057585339550444,TWh,Solar
AC,generators,GR,offwind-ac,1.0911070626967833e-06,7.045953125902073e-07,6.309345990008987e-07,TWh,Offwind
AC,generators,GR,offwind-dc,4.719679911707572e-06,3.999805581264884e-06,4.986902991958124e-06,TWh,Offwind
AC,generators,GR,onwind,5.319313189526021,0.794247333071164,4.525083612393852e-06,TWh,Onwind
AC,generators,GR,ror,0.24421600905982893,0.24410753157027734,0.24395500723518448,TWh,Hydroelectricity
AC,generators,GR,solar,27.426471348375607,30.461738310331256,85.38307673494465,TWh,Solar
AC,generators,HR,offwind-ac,3.841432666196953e-07,2.540142315397854e-07,2.357713571554918e-07,TWh,Offwind
AC,generators,HR,offwind-dc,5.742061225989213e-07,3.8736100491987957e-07,3.5904723804677715e-07,TWh,Offwind
AC,generators,HR,onwind,0.8761467057956324,0.20387018889375735,4.1727271535556196e-07,TWh,Onwind
AC,generators,HR,ror,1.2416139328432676,1.241582735112208,1.241368341617389,TWh,Hydroelectricity
AC,generators,HR,solar,0.21261648505197417,3.310167874112076,7.914080888492693,TWh,Solar
AC,generators,HU,onwind,0.44941473660650455,2.813290504227173e-06,3.5296604620048812e-06,TWh,Onwind
AC,generators,HU,ror,0.07812448659478566,0.07809540062075161,0.07797970585486245,TWh,Hydroelectricity
AC,generators,HU,solar,3.4141144082776944,3.4018198552813863,4.999780746792171,TWh,Solar
AC,generators,IE,offwind,0.08296550885005179,,,TWh,Offwind
AC,generators,IE,offwind-ac,3.1537917841023136e-06,2.1268489942989672e-06,1.7579597813943883e-06,TWh,Offwind
AC,generators,IE,offwind-dc,3.060975718468399e-06,2.6953443670451527e-06,3.937414475536011e-06,TWh,Offwind
AC,generators,IE,onwind,14.044120443259176,3.3246099462932346,152.32324011738604,TWh,Onwind
AC,generators,IE,ror,0.590187662225689,0.5901091335760643,0.5899812571502631,TWh,Hydroelectricity
AC,generators,IE,solar,4.759795323726631e-06,9.431413799260048e-06,20.982584940230865,TWh,Solar
AC,generators,IT,offwind,0.02846737382085229,0.02783843875626329,,TWh,Offwind
AC,generators,IT,offwind-ac,4.264438406705752e-06,2.729303394277166e-06,2.6758962862157117e-06,TWh,Offwind
AC,generators,IT,offwind-dc,1.8410393624360143e-06,1.2313296347254707e-06,1.5567932992819866e-06,TWh,Offwind
AC,generators,IT,onwind,8.138401860717481,21.174578293128626,20.287510540437115,TWh,Onwind
AC,generators,IT,ror,31.061898651123233,31.06178123450553,31.061738147253745,TWh,Hydroelectricity
AC,generators,IT,solar,154.765128896325,162.84532322364447,282.5892430524857,TWh,Solar
AC,generators,IT,offwind-ac,7.706384345739803e-07,5.350599925395631e-07,5.73994347596759e-07,TWh,Offwind
AC,generators,IT,onwind,2.1340975458596594,0.15422925598781337,0.8935715236139441,TWh,Onwind
AC,generators,IT,ror,0.25302149784757194,0.25289195591883895,0.2526866854783469,TWh,Hydroelectricity
AC,generators,IT,solar,6.845455834735002,8.279606408601476,14.05586397446344,TWh,Solar
AC,generators,LT,offwind-ac,2.2204608544295565e-06,1.7592552825801416e-06,1.6912337118385256e-06,TWh,Offwind
AC,generators,LT,offwind-dc,2.698592556479499e-06,2.410757501640089e-06,2.5568472637824592e-06,TWh,Offwind
AC,generators,LT,onwind,1.659836081141617,0.5503132012905643,7.315742857655144e-06,TWh,Onwind
AC,generators,LT,ror,0.5104439987618814,0.510407519709274,0.5103353156425373,TWh,Hydroelectricity
AC,generators,LT,solar,0.3750405663571367,0.37493012043462626,0.3747303289074331,TWh,Solar
AC,generators,LU,onwind,0.3372634807611938,0.055244550937153705,3.0212325484945752e-06,TWh,Onwind
AC,generators,LU,ror,0.21584905461368217,0.21580691063704183,0.21578656891968567,TWh,Hydroelectricity
AC,generators,LU,solar,0.2972315618187099,0.2970604701492081,1.3901687023947447,TWh,Solar
AC,generators,LV,offwind-ac,2.633152896482152e-06,1.7950989956924454e-06,1.4006899167270501e-06,TWh,Offwind
AC,generators,LV,offwind-dc,3.7366973744882515e-06,2.8409366790801703e-06,2.149159659566843e-06,TWh,Offwind
AC,generators,LV,onwind,0.2704642452762204,0.12717728091335526,1.1163887953456357e-05,TWh,Onwind
AC,generators,LV,ror,2.837998975009109,2.837919162645836,2.8378694886084626,TWh,Hydroelectricity
AC,generators,LV,solar,0.04888162529501453,0.04880834223014265,0.048859391907863155,TWh,Solar
AC,generators,ME,offwind-ac,1.2690820947462142e-07,7.34287898551208e-08,8.131534727127875e-08,TWh,Offwind
AC,generators,ME,onwind,0.04261942409494627,6.892711027204322e-08,6.292384991284969e-08,TWh,Onwind
AC,generators,ME,ror,1.061236330179344,1.0598801963000521,1.0612766466363048,TWh,Hydroelectricity
AC,generators,ME,solar,0.023938976033775834,0.023082203874872895,5.643286069021633,TWh,Solar
AC,generators,MK,onwind,0.009609912414764327,3.8991244665242716e-08,3.379087954804984e-08,TWh,Onwind
AC,generators,MK,solar,0.1135408206568538,2.1227802682526957,21.48501582840347,TWh,Solar
AC,generators,NL,offwind,9.80754450558144,0.3976642657786126,,TWh,Offwind
AC,generators,NL,offwind-ac,1.1623004676769047e-05,1.295604192422399e-05,1.6930084636844132e-05,TWh,Offwind
AC,generators,NL,offwind-dc,1.81032513928413e-05,2.384716247020951e-05,2.572658645100623e-05,TWh,Offwind
AC,generators,NL,onwind,66.64628556693656,71.62582626569846,84.93807271858229,TWh,Onwind
AC,generators,NL,solar,17.871184480698943,17.87094487408393,28.102114014138692,TWh,Solar
