carrier,2030,2040,2050,hist,units
gas pipeline,1209.209900553435,1193.5639824901946,1083.0584190245286,,"GW_lhv,ch4"
gas pipeline new,5.859629953508136,8.255567526030726,8.375232314237111,,"GW_lhv,ch4"
