Year,carrier,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,EU,units
2030,AC,7.068804995632278,38.95880851549854,10.55603242996428,18.343763937077554,11.886720049302859,52.732617154731756,21.628466278191862,122.89470935909985,46.89720947582097,2.0109110621075486,19.438809079849367,3.3962052851281035,38.654188562977346,3.2642989248630956,7.121416972686929,19.93036578363631,21.452314078922463,3.2642989248630956,18.292615554623296,4.021822258064651,5.518613262979323,6.032733320172199,8.38862286298426,8.821636167011604,20.377232595128405,7.283967526229321,14.567933557818515,15.059488988471061,15.282926027270053,20.649702334518654,18.094885431835678,15.41248095671619,14.65555679166487,0.0,GW_e
2030,DC,0.0,0.0,0.0,6.862616845623153,0.0,4.7078137228003785,0.0,3.0863277405428016,20.59733481025917,1.2500000852968105,7.489845574682124,2.5500001571401834,29.49008255581257,37.43877851569086,0.5000000235602148,0.0,0.0,0.5000095999675472,6.507817897774792,2.7000003959923187,0.0,0.0,3.3880100845944072e-06,0.0,5.139310113642238,12.109999263292826,2.600000397918597,0.0,0.0,0.0,9.301022690621894,0.0,0.0,0.0,GW_e
2040,AC,7.478290697495422,43.81452764019232,10.556032659470999,25.118422234137338,11.886720318485857,72.86269986536821,27.24957848610969,138.82700818514311,46.89721147014369,4.844074637860043,19.438809589102753,3.3962053058130715,64.36163844567987,8.055340316803,7.121417245034458,20.942623264354662,24.621329979579674,8.055340316803,32.81276141282415,4.021822525573475,6.904927839476931,8.865897163433518,8.716241997012327,8.903502704457239,30.3436887654113,7.28396762536786,21.75037212516163,15.059488994928525,15.61210186769272,21.037620178290055,18.09488556390964,20.07945463567211,19.375934846845762,0.0,GW_e
2040,DC,0.0,0.0,0.0,36.29115720307197,0.0,6.442782497987313,0.0,15.905629435083867,20.59733725754131,1.8539265271427026,26.157292619905125,3.153926624801167,60.85286468243235,79.21683518010768,0.5000000357066239,0.0,0.0,0.5000097788668227,8.24278725590016,2.700000497294494,0.0,0.0,3.860304574150469e-06,0.0,11.542927416219952,12.110006372868249,2.600000510127923,0.0,0.0,0.0,9.301022959284973,0.0,0.0,0.0,GW_e
2050,AC,9.312619600850441,60.781344500552514,16.608879106454882,32.21489996992014,12.339173842558022,89.00494135048955,39.93924212863246,168.87312572756525,46.89721661181685,9.068298911841266,19.438809608942396,9.197343242394926,87.92115113791544,8.055340324218934,7.574192356245884,28.437086129201713,35.154124249454576,8.055340324218934,45.498975424192935,7.866296024967963,7.670127983468327,16.93459493680923,11.289263093993709,11.559874585970716,37.350900788498045,7.28396789795199,34.30570724246228,15.059489007942275,19.23576030034047,26.476625795312412,23.896023773488707,27.3313997859342,27.15174993525944,0.0,GW_e
2050,DC,0.0,0.0,0.0,44.05060250392979,0.0,6.442812793264317,0.0,20.395558192651734,22.20649052608186,4.0232359935055575,33.97851242513203,5.323236138859203,77.91235764683691,115.2703466957258,1.5264332000022942,0.0,0.0,8.104056853470105,9.308790557479243,5.189729912207793,0.0,0.0,0.039543651533200566,0.0,20.823902360233966,14.086252271858376,5.08972994857687,0.0,0.0,0.0,9.301023263830723,0.0,0.0,0.0,GW_e
hist,AC,6.077419873597677,35.97296322239802,10.233302581278444,17.24914758241694,11.886718282183693,51.9708773014272,21.628464844274088,87.67571905881356,7.775522485338205,2.0109109875874664,19.43880621334551,3.396205223481055,38.654177872514644,0.9831120383760948,6.79241044696211,19.93036223253356,19.6622407675219,0.9831120383760948,16.534157009052507,4.021821975174933,4.424004172692427,6.0327329627624,7.55208793116182,8.490513058702637,20.377231340886333,7.283966466150159,14.567932932300314,15.059488951488364,15.282923505664748,20.645352805897993,14.07637691311227,12.154839747195355,12.869830320559787,0.0,GW_e
hist,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.89,1.25,2.4,2.55,4.0,6.251,0.5,0.0,0.0,0.5,1.8,2.7,0.0,0.0,0.0,0.0,1.7,1.84,2.6,0.0,0.0,0.0,3.75,0.0,0.0,0.0,GW_e
