carrier,2030,2040,2050,hist,units
H2 pipeline,0.7861959451164331,1.4632548127259446,16.387185781565353,,"GW_lhv,h2"
H2 pipeline retrofitted,3.679910173681678,16.700397371377374,96.03571160585703,,"GW_lhv,h2"
