cluster,ll,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
37m,v3.0,3H-I-T-H-B-A-CCL,2030,773814866605.413,773814866605.413,773814866605.413,773814866605.413,773814866605.413,773814866605.413,773814866605.413,773814866605.413,773814866605.413,773814866605.413
37m,v3.0,3H-I-T-H-B-A-CCL,2040,718003317142.9961,649999036435.8433,589012800522.9786,534261899161.7667,485057314159.87445,440791752480.3143,400929302100.3779,364996478020.0212,332574460923.8381,303292360548.1542
37m,v3.0,3H-I-T-H-B-A-CCL,2050,758648622304.7104,621746283338.8328,510548774712.9921,420045348116.9842,346237327973.4643,285926686942.7365,236550226480.22433,196049220462.0984,162766701965.0327,135366348709.92046
37m,v3.0,3H-I-T-H-B-A-CCL,cumulative cost,14842350615980.578,13477796114079.66,12311946211821.812,11311920065229.652,10450834114493.13,9706625292543.89,9061118486431.967,8499285215537.768,8008652452090.609,7578829682058.209
