cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,,2030,2040,2050
generators,capital,BG1 0,solar rooftop,207434648.0710216,371307028.7905894,514699854.94390017
generators,capital,BG1 1,offwind-ac,173.95308516064046,110.5327871230105,104.85390414722629
generators,capital,BG1 1,offwind-dc,29.365727423718123,26.08236441646737,37.97864736313856
generators,capital,BG1 1,onwind,58084459.241322845,174.90670922163503,181.7200930241458
generators,capital,BG1 1,ror,6700745.89367236,6700745.89367236,6700745.89367236
generators,capital,BG1 1,solar,56396094.58583305,327525002.00174534,1128562834.2846007
generators,capital,BG1 1,solar rooftop,148360046.48022273,265563773.75619778,368120247.864657
generators,capital,CH0 0,residential rural solar thermal,203.91629586755795,107.65678135489601,32.1374357542204
generators,capital,CH0 0,residential urban decentral solar thermal,253.62384789992075,134.54257059999526,41.33436249955445
generators,capital,CH0 0,services rural solar thermal,192.47027798471606,102.65708591064354,30.494281649272786
generators,capital,CH0 0,services urban decentral solar thermal,215.99894149513054,128.22398964410175,45.11812732095246
generators,capital,CH0 0,urban central solar thermal,49377.655667742176,136406204.63939852,136408951.38916877
generators,capital,CH1 0,onwind,4203000.995377083,54.54959952354736,45.78155847155477
generators,capital,CH1 0,ror,293510618.5693503,293510618.5693503,293510618.5693503
generators,capital,CH1 0,solar,624683263.2866056,624683263.2866056,624145893.2890679
generators,capital,CH1 0,solar rooftop,81704060.38994358,146249876.74873888,202729233.11001664
generators,capital,CH1 1,onwind,4202965.975820222,32.46528146564605,26.868178573504863
generators,capital,CH1 1,ror,542180084.9305986,542180084.9305986,542180084.9305986
generators,capital,CH1 1,solar,83291406.48919874,83291346.50428668,82755001.67348622
generators,capital,CH1 1,solar rooftop,106882501.78687638,191319167.0670666,265203561.19593924
generators,capital,CH1 2,onwind,4202993.275890786,49.06034985630145,40.80534659500746
generators,capital,CH1 2,ror,541791202.3564122,541791202.3564122,541791202.3564122
generators,capital,CH1 2,solar,83291199.43442708,83291092.42449543,82753705.97590682
generators,capital,CH1 2,solar rooftop,187254953.8227863,335185473.12731194,464628730.00839984
generators,capital,CZ0 0,residential rural solar thermal,67.8555892799982,24.426723607729354,9.426252034864456
generators,capital,CZ0 0,residential urban decentral solar thermal,69.96188095159646,24.58179391830261,10.077137134997812
generators,capital,CZ0 0,services rural solar thermal,65.24856182135954,24.813472177332383,9.803506365645612
generators,capital,CZ0 0,services urban decentral solar thermal,69.79605127887088,26.6844830322273,10.420101033286235
generators,capital,CZ0 0,urban central solar thermal,124.25927131137941,41.58750494005032,13.326953938191725
generators,capital,CZ1 0,onwind,19020901.413807992,165.12967988176317,147.2709013370754
generators,capital,CZ1 0,ror,12033337.759956315,12033337.759956315,12033337.759956315
generators,capital,CZ1 0,solar,50541867.09624924,50541953.905149676,50541861.16065512
generators,capital,CZ1 0,solar rooftop,268554023.5290229,480710429.1951935,666353095.0072393
generators,capital,CZ1 1,onwind,19020931.559308425,214.1005733809118,220.44041897895124
generators,capital,CZ1 1,solar,50541893.16260809,50542138.83666454,50541978.79357765
generators,capital,CZ1 1,solar rooftop,127156821.0306468,227610105.80383635,315509478.7499374
generators,capital,CZ1 2,onwind,19020952.92398723,286.2471894693029,421.7230124595799
generators,capital,CZ1 2,solar,50541839.17482002,50542029.60489038,50541890.60877923
generators,capital,CZ1 2,solar rooftop,105809077.07469438,189397744.3322667,262540115.17999065
generators,capital,DE0 0,gas,0.0,0.0,0.0
generators,capital,DE0 0,residential rural solar thermal,79.63088109470121,28.092097022217608,11.357604469216893
generators,capital,DE0 0,residential urban decentral solar thermal,83.46209480168848,30.374014477916734,12.456946746509209
generators,capital,DE0 0,services rural solar thermal,75.96263893632666,27.182081787156953,10.780498580835197
generators,capital,DE0 0,services urban decentral solar thermal,78.93713490334143,28.932735452543437,11.511325950662304
generators,capital,DE0 0,urban central solar thermal,94.09217838852851,43.747626511399176,15.05071202716872
generators,capital,DE1 0,onwind,349232175.34760535,22521864.715796623,236.92582624286268
generators,capital,DE1 0,ror,13713614.924195513,13713614.924195513,13713614.924195513
generators,capital,DE1 0,solar,137074844.36909884,137074800.04675218,132847086.44241007
generators,capital,DE1 0,solar rooftop,175161448.5244175,313538159.3503022,434621569.4355669
generators,capital,DE1 1,onwind,349232223.138185,22522038.004094314,398.3552313786472
generators,capital,DE1 1,ror,4949876.888508774,4949876.888508774,4949876.888508774
generators,capital,DE1 1,solar,137074855.92827702,137074868.9730506,132847182.17862195
generators,capital,DE1 1,solar rooftop,478967951.73595583,857350417.9317242,1188445443.3351555
generators,capital,DE1 10,onwind,349232014.82888824,22521675.235318314,63.433723880998755
generators,capital,DE1 10,ror,144944552.36308685,144944552.36308685,144944552.36308685
generators,capital,DE1 10,solar,137074834.0512769,137075095.50557122,132848349.9967946
generators,capital,DE1 10,solar rooftop,106517401.65778324,190665639.12920275,264297651.67318535
generators,capital,DE1 11,onwind,349232220.0512326,22521996.66882952,363.0447153347211
generators,capital,DE1 11,ror,30287371.439399067,30287371.439399067,30287371.439399067
generators,capital,DE1 11,solar,137074812.84112114,137074802.4560945,132847107.37392272
generators,capital,DE1 11,solar rooftop,3271.5105686057987,200734046.56141913,376381835.0582298
generators,capital,DE1 12,onwind,349232092.40045214,22521769.523870096,150.2259162263552
generators,capital,DE1 12,ror,710159.4085525975,710159.4085525975,710159.4085525975
generators,capital,DE1 12,solar,137074733.02444276,137074705.374615,132847039.6162188
generators,capital,DE1 12,solar rooftop,933.2718940828286,23079680.132241506,43275030.25476542
generators,capital,DE1 13,onwind,349232188.8894531,22522093.303125538,497.5087302223334
generators,capital,DE1 13,ror,643151.9496158739,643151.9496158739,643151.9496158739
generators,capital,DE1 13,solar,137074727.93049896,137074725.8543205,132847095.41601051
generators,capital,DE1 13,solar rooftop,29142083.753805246,52164190.36867422,72309162.75445826
generators,capital,DE1 14,onwind,349232164.33749276,22521859.725597896,244.8467542022617
generators,capital,DE1 14,ror,11833397.592048716,11833397.592048716,11833397.592048716
generators,capital,DE1 14,solar,137074826.0551682,137074789.68038267,132847077.34843846
generators,capital,DE1 14,solar rooftop,118447280.96890648,212020066.59922725,293898814.59918004
generators,capital,DE1 15,offwind,477140993.35285395,20074082.879404116,
generators,capital,DE1 15,offwind-ac,195.70733884934674,172.06742768875336,204.8100274297065
generators,capital,DE1 15,onwind,1795732809.8451135,1572212947.7810817,2764520979.3759947
generators,capital,DE1 15,ror,2961490.372649838,2961490.372649838,2961490.372649838
generators,capital,DE1 15,solar,137074853.639737,137074845.442226,132847129.89887367
generators,capital,DE1 15,solar rooftop,120099161.28227517,214976924.4184051,297997563.7697417
generators,capital,DE1 16,onwind,349232135.37418956,22521809.880809344,189.3448981184533
generators,capital,DE1 16,ror,19076018.44740116,19076018.44740116,19076018.44740116
generators,capital,DE1 16,solar,137074818.95473993,137074786.51557177,132847082.58913921
generators,capital,DE1 16,solar rooftop,126635659.02328761,226677225.74478263,314216334.7407371
generators,capital,DE1 17,onwind,349232117.737126,22521774.416466717,153.5350853122
