cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,2030,2040,2050
links,capital,services rural biomass boiler,531476264.40852994,558901879.3828931,563528554.9925327
links,capital,services rural gas boiler,2890004150.445205,2433005227.693123,2432758833.820862
links,capital,services rural ground heat pump,2102324907.5170603,6729835107.394843,9103217774.891079
links,capital,services rural micro gas CHP,5101.748264801,1807.9990430380674,775.5587901368249
links,capital,services rural oil boiler,650420348.1745844,450513945.9767346,450460340.7165754
links,capital,services rural resistive heater,255131417.71906185,169506166.57240054,176315577.14909738
links,capital,services rural water tanks charger,0.0,0.0,0.0
links,capital,services rural water tanks discharger,0.0,0.0,0.0
links,capital,services urban decentral air heat pump,2832771257.709258,1659050716.2887623,2005249221.4289167
links,capital,services urban decentral biomass boiler,726925941.2822,801866726.643661,806584789.1927177
links,capital,services urban decentral gas boiler,3059209191.730984,4389925996.696403,4389182538.316509
links,capital,services urban decentral micro gas CHP,5112.920290649186,1809.8621957164748,776.1343890145533
links,capital,services urban decentral oil boiler,1358974234.3585813,978037868.5059338,978024705.8812988
links,capital,services urban decentral resistive heater,387539742.2189103,285619791.8591719,289010288.08730614
links,capital,services urban decentral water tanks charger,0.0,0.0,0.0
links,capital,services urban decentral water tanks discharger,0.0,0.0,0.0
links,capital,solid biomass,3836.8842257638394,1627.9780831607811,828.8347733685396
links,capital,solid biomass for industry,0.0,0.0,0.0
links,capital,solid biomass for industry CC,6304.4544332578525,5106.520739634895,4700691097.355023
links,capital,solid biomass transport,0.0,0.0,0.0
links,capital,urban central air heat pump,10465858766.789171,3851403777.575291,16897935550.675617
links,capital,urban central gas CHP,3071.873583677022,1297.3612506232419,818.5510952906816
links,capital,urban central gas CHP CC,4333.43715306158,1725.5831954681769,728.1297365958967
links,capital,urban central gas boiler,967853114.64224,1577647010.3108768,1522587125.2630317
links,capital,urban central oil boiler,464339166.36606234,298454732.99045354,
links,capital,urban central resistive heater,135711742.6437681,589508747.576892,728185015.1742816
links,capital,urban central solid biomass CHP,5608227652.690126,4900744148.58278,4959317045.338434
links,capital,urban central solid biomass CHP CC,8155.401918380363,5565.839218473436,305748835.97784615
links,capital,urban central water tanks charger,0.0,0.0,0.0
links,capital,urban central water tanks discharger,0.0,0.0,0.0
links,marginal,BEV charger,0.0,0.0,0.0
links,marginal,BioSNG,163.714864451294,101.67413207888912,699650.3025672096
links,marginal,CCGT,2103944226.8486717,1699587252.9792247,254007545.59294236
links,marginal,CO2 pipeline,0.0,0.0,0.0
links,marginal,DAC,0.0,0.0,0.0
links,marginal,DC,0.0,0.0,0.0
links,marginal,Fischer-Tropsch,0.0,0.0,0.0
links,marginal,H2 Electrolysis,0.0,0.0,0.0
links,marginal,H2 Fuel Cell,0.0,0.0,0.0
links,marginal,H2 pipeline,0.0,0.0,0.0
links,marginal,H2 pipeline retrofitted,0.0,0.0,0.0
links,marginal,Haber-Bosch,0.0,0.0,0.0
links,marginal,OCGT,507.01915566245583,166.7933267396967,26306.83424967074
links,marginal,SMR,0.0,0.0,0.0
links,marginal,SMR CC,0.0,0.0,0.0
links,marginal,Sabatier,0.0,0.0,0.0
links,marginal,V2G,0.0,0.0,0.0
links,marginal,ammonia cracker,0.0,0.0,0.0
links,marginal,battery charger,0.0,0.0,0.0
links,marginal,battery discharger,0.0,0.0,0.0
links,marginal,biogas to gas,322.29235366729364,394.65158028679497,1272588273.433361
links,marginal,biomass to liquid,35.53751400292734,25.892573639747948,28.694241604850934
links,marginal,coal,480872240.8615464,134123.46347200836,792981.1661382982
links,marginal,electricity distribution grid,0.0,0.0,0.0
links,marginal,gas for industry,0.0,0.0,0.0
links,marginal,gas for industry CC,0.0,0.0,0.0
links,marginal,gas pipeline,0.0,0.0,0.0
links,marginal,gas pipeline new,0.0,0.0,0.0
links,marginal,helmeth,0.0,0.0,0.0
links,marginal,home battery charger,0.0,0.0,0.0
links,marginal,home battery discharger,0.0,0.0,0.0
links,marginal,lignite,1004634147.1043506,13056275.412516655,1878544.7053332692
links,marginal,methanolisation,0.0,0.0,0.0
links,marginal,nuclear,4410933113.074687,2604132116.5427437,1508222466.1038954
links,marginal,nuclear (SMR),2618.5719810200712,1060.549540943372,446.9187303662501
links,marginal,oil,24204.78251408987,29.460500280052166,7.318546732480044
links,marginal,process emissions,0.0,0.0,0.0
links,marginal,process emissions CC,0.0,0.0,0.0
links,marginal,residential rural biomass boiler,0.0,0.0,0.0
links,marginal,residential rural gas boiler,0.0,0.0,0.0
links,marginal,residential rural ground heat pump,0.0,0.0,0.0
links,marginal,residential rural micro gas CHP,0.0,0.0,0.0
links,marginal,residential rural oil boiler,0.0,0.0,0.0
links,marginal,residential rural resistive heater,0.0,0.0,0.0
links,marginal,residential rural water tanks charger,0.0,0.0,0.0
links,marginal,residential rural water tanks discharger,0.0,0.0,0.0
links,marginal,residential urban decentral air heat pump,0.0,0.0,0.0
links,marginal,residential urban decentral biomass boiler,0.0,0.0,0.0
links,marginal,residential urban decentral gas boiler,0.0,0.0,0.0
links,marginal,residential urban decentral micro gas CHP,0.0,0.0,0.0
links,marginal,residential urban decentral oil boiler,0.0,0.0,0.0
links,marginal,residential urban decentral resistive heater,0.0,0.0,0.0
links,marginal,residential urban decentral water tanks charger,0.0,0.0,0.0
links,marginal,residential urban decentral water tanks discharger,0.0,0.0,0.0
links,marginal,services rural biomass boiler,0.0,0.0,0.0
links,marginal,services rural gas boiler,0.0,0.0,0.0
links,marginal,services rural ground heat pump,0.0,0.0,0.0
links,marginal,services rural micro gas CHP,0.0,0.0,0.0
links,marginal,services rural oil boiler,0.0,0.0,0.0
links,marginal,services rural resistive heater,0.0,0.0,0.0
links,marginal,services rural water tanks charger,0.0,0.0,0.0
links,marginal,services rural water tanks discharger,0.0,0.0,0.0
links,marginal,services urban decentral air heat pump,0.0,0.0,0.0
links,marginal,services urban decentral biomass boiler,0.0,0.0,0.0
links,marginal,services urban decentral gas boiler,0.0,0.0,0.0
links,marginal,services urban decentral micro gas CHP,0.0,0.0,0.0
links,marginal,services urban decentral oil boiler,0.0,0.0,0.0
links,marginal,services urban decentral resistive heater,0.0,0.0,0.0
links,marginal,services urban decentral water tanks charger,0.0,0.0,0.0
links,marginal,services urban decentral water tanks discharger,0.0,0.0,0.0
links,marginal,solid biomass,0.0,0.0,0.0
links,marginal,solid biomass for industry,0.0,0.0,0.0
links,marginal,solid biomass for industry CC,0.0,0.0,0.0
links,marginal,solid biomass transport,2108427257.5160396,2089638344.8708158,2089984467.8432653
links,marginal,urban central air heat pump,0.0,0.0,0.0
links,marginal,urban central gas CHP,1161.4428923496248,547.24881243243,146.22614352569448
links,marginal,urban central gas CHP CC,836.664136792443,359.49816258411374,90.67307449221303
links,marginal,urban central gas boiler,0.0,0.0,0.0
links,marginal,urban central oil boiler,0.0,0.0,
links,marginal,urban central resistive heater,0.0,0.0,0.0
links,marginal,urban central solid biomass CHP,1201554501.7173188,1241043860.7165866,1152376264.824896
links,marginal,urban central solid biomass CHP CC,1255.627339520544,1034.9724591101212,53307717.58989723
links,marginal,urban central water tanks charger,0.0,0.0,0.0
links,marginal,urban central water tanks discharger,0.0,0.0,0.0
storage_units,capital,PHS,11063525534.094948,11063525534.094948,11063525534.094948
storage_units,capital,hydro,19780451182.310123,19780451182.310123,19780451182.310123
storage_units,marginal,PHS,0.0,0.0,0.0
storage_units,marginal,hydro,0.0,0.0,0.0
stores,capital,H2 Store,53982598.10867546,104960219.35317048,1402165662.5168376
stores,capital,ammonia store,28093183.05793458,143514850.28139618,381212428.35193586
stores,capital,battery,6172.305302707338,5445.212192480725,6244.679172218751
stores,capital,battery storage,0.0,0.0,0.0
stores,capital,biogas,0.0,0.0,0.0
stores,capital,co2,0.0,0.0,0.0
stores,capital,co2 stored,387854.659658457,100465757.97674112,20000000000.610676
stores,capital,coal,52654157.33277622,63593846.72103977,89534694.33075006
stores,capital,gas,2069700018.8193948,2447388939.1900425,3432658508.9616375
stores,capital,home battery,8107.96730858842,2941751454.9128184,9972414017.498922
stores,capital,lignite,52090130.261307746,63364933.793935716,89486643.05221678
stores,capital,methanol,0.0,0.0,0.0
stores,capital,oil,54706948.86519752,67622289.4754721,121691601.63202442
stores,capital,residential rural water tanks,101633965.40768404,154349225.6827793,169669266.82470465
stores,capital,residential urban decentral water tanks,341370035.6157718,347752995.5855741,361417758.33619756
stores,capital,services rural water tanks,63095346.860344306,95753290.94953918,103137564.09890448
stores,capital,services urban decentral water tanks,239723878.1497334,241507831.97083592,245828676.7829713
stores,capital,solid biomass,0.0,0.0,0.0
stores,capital,uranium,88732908.90516773,139288377.5431912,231906857.6313929
stores,capital,urban central water tanks,79649318.50677672,188343049.88995957,1974189664.7305257
stores,marginal,H2 Store,0.0,0.0,0.0
stores,marginal,ammonia store,0.0,0.0,0.0
stores,marginal,battery,0.0,0.0,0.0
stores,marginal,battery storage,0.0,0.0,0.0
stores,marginal,biogas,5972.501057343528,6782.140055027643,20387951267.43104
stores,marginal,co2,0.0,0.0,0.0
stores,marginal,co2 stored,0.0,0.0,0.0
stores,marginal,coal,0.0,0.0,0.0
stores,marginal,gas,0.0,0.0,0.0
stores,marginal,home battery,0.0,0.0,0.0
stores,marginal,lignite,0.0,0.0,0.0
stores,marginal,methanol,0.0,0.0,0.0
stores,marginal,oil,0.0,0.0,0.0
stores,marginal,residential rural water tanks,0.0,0.0,0.0
stores,marginal,residential urban decentral water tanks,0.0,0.0,0.0
stores,marginal,services rural water tanks,0.0,0.0,0.0
stores,marginal,services urban decentral water tanks,0.0,0.0,0.0
stores,marginal,solid biomass,14227746821.998783,14227746822.283506,14227746822.362274
stores,marginal,uranium,0.0,0.0,0.0
stores,marginal,urban central water tanks,0.0,0.0,0.0
