cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
AC,generators,GB5 0,onwind,2583199.1893366002,86373353.53723118,87789640.35219307
AC,generators,GB5 0,solar,606178.6821263777,605924.7217909396,605758.5339550445
AC,generators,GR0 0,offwind-ac,1.0911070626967834,0.7045953125902074,0.6309345990008988
AC,generators,GR0 0,offwind-dc,4.719679911707572,3.9998055812648845,4.986902991958124
AC,generators,GR0 0,onwind,5319313.1895260215,794247.3330711641,4.5250836123938525
AC,generators,GR0 0,ror,244216.00905982894,244107.53157027735,243955.0072351845
AC,generators,GR0 0,solar,27426471.348375607,30461738.31033126,85383076.73494466
AC,generators,HR0 0,offwind-ac,0.38414326661969533,0.2540142315397854,0.2357713571554918
AC,generators,HR0 0,offwind-dc,0.5742061225989213,0.38736100491987957,0.3590472380467772
AC,generators,HR0 0,onwind,876146.7057956324,203870.18889375735,0.417272715355562
AC,generators,HR0 0,ror,1241613.9328432677,1241582.735112208,1241368.3416173891
AC,generators,HR0 0,solar,212616.4850519742,3310167.874112076,7914080.888492693
AC,generators,HU0 0,onwind,449414.7366065046,2.813290504227173,3.5296604620048813
AC,generators,HU0 0,ror,78124.48659478566,78095.40062075162,77979.70585486246
AC,generators,HU0 0,solar,3414114.4082776946,3401819.8552813865,4999780.746792171
AC,generators,IE5 0,offwind,82965.50885005179,,
AC,generators,IE5 0,offwind-ac,3.1537917841023138,2.1268489942989675,1.7579597813943884
AC,generators,IE5 0,offwind-dc,3.060975718468399,2.695344367045153,3.937414475536011
AC,generators,IE5 0,onwind,14044120.443259178,3324609.946293235,152323240.11738604
AC,generators,IE5 0,ror,590187.662225689,590109.1335760644,589981.2571502631
AC,generators,IE5 0,solar,4.759795323726632,9.43141379926005,20982584.940230865
AC,generators,IT0 0,offwind,28467.373820852292,27838.438756263295,
AC,generators,IT0 0,offwind-ac,4.264438406705752,2.729303394277166,2.675896286215712
AC,generators,IT0 0,offwind-dc,1.8410393624360144,1.2313296347254707,1.5567932992819866
