cluster,,37m,37m,37m
ll,,v3.0,v3.0,v3.0
opt,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,2030,2040,2050
generators,coal,0.9388186393901611,0.9998814715841884,0.9996343588159338
generators,gas,0.010752609540307146,0.009921924232401572,0.003015849279389688
generators,lignite,0.9844756801826381,0.9913444291872696,0.9999116350597173
generators,offwind,0.4071393058822231,0.37119294388752283,
generators,offwind-ac,0.26175732388911926,0.43156697993262966,0.42946620382031236
generators,offwind-dc,0.45718881425729585,0.49082003805584146,0.4910657699749503
generators,oil,0.8587746536429817,0.934584284524798,0.9553741330505967
generators,onwind,0.3054079172209046,0.33537892708985656,0.32530218577393666
generators,residential rural solar thermal,0.04829660389542975,0.07563450227847507,0.07562638317547173
generators,residential urban decentral solar thermal,0.04773340072363783,0.075555203854058,0.07554681058876632
generators,ror,0.39074879836823273,0.39070660544527763,0.39064443170843327
generators,services rural solar thermal,0.04932214573163049,0.07566663121568888,0.0756676866499009
generators,services urban decentral solar thermal,0.04723791909941168,0.07568288558560886,0.07566266069561799
generators,solar,0.14707770131858725,0.14817804487672184,0.14300428473934237
generators,solar rooftop,0.12755075823496828,0.12639647987939617,0.12583184147777376
generators,uranium,0.06785531278331294,0.058003826176631065,0.7605321668060034
generators,urban central solar thermal,0.07284579353552977,0.06322521514937708,0.06382742327097272
lines,AC,0.3187773889486173,0.35584122416241426,0.3859482077147198
links,BEV charger,0.045964870293706,0.044946743957776446,0.04503586093825111
links,BioSNG,0.43398078850525623,0.5601368376067813,0.9999412070714846
links,CCGT,0.29068982990936615,0.25871580568174285,0.0791820819939248
links,CO2 pipeline,0.18199907299209978,0.24848331400627882,0.9430628005295588
links,DAC,0.3622626249419371,0.30010297647133743,0.38305296123700544
links,DC,0.6417656593800917,0.6745328931578404,0.7041938294837721
links,Fischer-Tropsch,0.9481744333476934,0.9485984034192867,0.9794277539895097
links,H2 Electrolysis,0.3184556938858827,0.31794251312630845,0.34435208865759903
links,H2 Fuel Cell,0.33012061141566146,0.24963815673366097,0.22977848833244469
links,H2 pipeline,0.6260558099529228,0.6094873920897327,0.7297597544335297
links,H2 pipeline retrofitted,0.6353433092096841,0.7898963319695738,0.7776069914389433
links,Haber-Bosch,0.25127393245084517,0.16355771758597829,0.13814333026001557
links,OCGT,9.293510204648987e-05,2.988634811712186e-05,0.006861024079923259
links,SMR,0.9993203374186717,0.9999065680476327,0.020272936535500975
links,SMR CC,0.9993578323864886,0.9999995751585432,0.05347337147110852
links,Sabatier,0.168542874952712,0.1395515388445684,0.25277135100036635
links,V2G,0.004142797450574825,0.003226483748229407,0.0033066890306566125
links,ammonia cracker,0.1776778908389174,0.13714942908484112,0.10312718781672688
links,battery charger,0.32979768737813503,0.31056203216507117,0.2936356307163737
links,battery discharger,0.29681793154081293,0.2795058410581478,0.26427208097812066
links,biogas to gas,0.22189804482591038,0.4721515844651986,0.999999804393254
links,biomass to liquid,0.451585115427289,0.573183522893849,0.7006480882124004
links,coal,0.7122340508104699,0.0002273687808609411,0.002020291515507662
links,electricity distribution grid,0.8150937196863439,0.7918858774346055,0.7971401855490591
links,gas for industry,0.9999997741986023,0.9999997719662378,0.9999996535828858
links,gas for industry CC,0.4977090931181683,0.6408870234590744,0.9999956419869601
