cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
co2,links,gas for industry CC2,0.000519313769040297,0.0001890964677612288,32.559461729283484
co2,links,gas for industry2,8613.670057392123,8703.417592565987,8119.176770579001
co2,links,lignite2,0.00046659422842806636,0.00016532498936528778,0.00010629818601101852
co2,links,nuclear (SMR)2,-0.0,-0.0,-0.0
co2,links,nuclear2,-0.0,-0.0,-0.0
co2,links,oil2,0.0013312813277411837,0.00034292303393920076,9.306054037954833e-05
co2,links,process emissions CC1,0.0031487278870253096,260.6101158947518,872.1458494983957
co2,links,process emissions1,19373.266678290598,14122.231267477287,0.005957510778818193
co2,links,residential rural gas boiler2,0.0016293514784219737,0.000542518872298891,0.0005233704687163552
co2,links,residential rural micro gas CHP3,0.00076311288043208,0.0002698875758409155,0.00011414880233603767
co2,links,residential rural oil boiler2,0.0014027037917471942,0.0006371804731241307,0.00036571543109875594
co2,links,residential urban decentral gas boiler2,0.0015710340249876613,0.0006807189802244217,0.0005648001304682002
co2,links,residential urban decentral micro gas CHP3,0.0007858885862208968,0.00025302834928648925,0.00010994528323244706
co2,links,residential urban decentral oil boiler2,0.0013722656352324449,0.0008814326995598419,0.0003433516123563258
co2,links,services rural gas boiler2,0.002839035037881783,0.0005422625183460965,0.00047679191419678155
co2,links,services rural micro gas CHP3,0.0007705259045539697,0.00026737317065342027,0.00011492007354319843
co2,links,services rural oil boiler2,0.001686548773218659,0.0006224238324355193,0.00035319112144645726
co2,links,services urban decentral gas boiler2,0.00171023566336839,0.0006467922494739299,0.0005233647875608253
co2,links,services urban decentral micro gas CHP3,0.0007955105228822137,0.00025392990163353754,0.00011048287313552938
co2,links,services urban decentral oil boiler2,0.0014496259482462584,0.0008685933561476101,0.000313340500711163
co2,links,solid biomass for industry CC2,-0.01384873307531125,-0.017758152684059347,-21422.235260050064
co2,links,solid biomass2,-0.0,-0.0,-0.0
co2,links,urban central gas CHP CC3,0.0007785848867177901,0.0001778232310183645,9.413896569026657e-05
co2,links,urban central gas CHP3,0.01901345948759531,0.008743371369653542,0.0059433282483132635
co2,links,urban central gas boiler2,0.0019903622751246235,0.0007795338577733133,0.0007487806032135154
co2,links,urban central oil boiler2,-0.0,8.407583014325115e-06,
co2,links,urban central solid biomass CHP CC3,-0.005821862487583704,-0.0020159070481175433,-0.0009097562056261309
co2,loads,agriculture machinery oil emissions,2542.411446195091,2542.411446195091,2542.411446195091
co2,loads,land transport oil emissions,62897.19003320584,26955.938585659642,
co2,loads,oil emissions,36438.94513009968,36438.94513009968,36438.94513009968
co2,loads,shipping methanol emissions,4640.5390150671765,10827.924368490078,15468.463383557253
co2,loads,shipping oil emissions,12908.519201733421,5532.22251502861,
co2,stores,co2,-156189.84404844666,-115663.83122394182,-33440.960662623154
co2 stored,links,BioSNG2,0.001445926501645736,0.0008416791303552382,14.638307883609102
co2 stored,links,CO2 pipeline0,-0.0398246981994054,-0.026124005152590706,-3653.103171784507
co2 stored,links,CO2 pipeline1,0.0398246981994054,0.026124005152590706,3653.103171784507
co2 stored,links,DAC1,0.004562400971938583,0.0018162429789728303,0.0017032751084065149
co2 stored,links,Fischer-Tropsch2,-0.005043446783784923,-0.002456712984079814,-1131.4439155559357
co2 stored,links,SMR CC3,4643.898488959784,6134.323399466487,4500.8597045535425
co2 stored,links,Sabatier2,-0.0014126849576335668,-0.0005123282257408234,-0.0009738349654300266
co2 stored,links,biomass to liquid3,0.0012838996721792767,0.000824723402370445,0.000843670782101919
co2 stored,links,coal3,0.006669730936684937,0.0021606221746926224,0.0010767740478747304
co2 stored,links,gas for industry CC3,0.008024810222837419,0.007457471006193731,618.6340582458143
co2 stored,links,helmeth2,-0.0017563634996463115,-0.0009047957195002805,-0.0007271365476539044
co2 stored,links,methanolisation3,-2607.900199905253,-6028.571076489474,-9867.543837345604
co2 stored,links,process emissions CC2,0.01889365271704408,4105.7410264877335,16570.770593665817
co2 stored,links,solid biomass for industry CC3,0.01384873307531125,0.017758152684059347,21422.235260050064
co2 stored,links,urban central gas CHP CC4,0.0014210246725503634,0.0004044529658222214,0.00010551594135071149
co2 stored,links,urban central solid biomass CHP CC4,0.005821862487583704,0.0020159070481175433,0.0009097562056261309
co2 stored,stores,co2 stored,364.44386010915014,1257.404237032195,-15878.971753414064
coal,generators,coal,50624.635991238174,13.257759850556454,78.40352826781516
coal,links,coal0,-66729.95215393128,-25232.84810892315,-38307.722825759556
coal,stores,coal,23800.966737687588,25219.54394865036,38229.49970602989
gas,generators,gas,454501.45185616775,403330.9507381061,121862.02672734571
gas,links,BioSNG1,0.01243242553636237,0.007416160581835599,49.91820129554558
