cluster,,37m,37m,37m
ll,,v3.0,v3.0,v3.0
opt,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
links,solid biomass,0.02948935404911426,0.012512241509963546,0.006370221419755353
links,solid biomass for industry,80180.34087123955,80180.34484956847,24836.083444772816
links,solid biomass for industry CC,0.05709725780115762,0.05465671274636864,61493.653513271856
links,solid biomass transport,7800000.0,7800000.0,7800000.0
links,urban central air heat pump,19457.66745349722,14028.70905426587,60747.20843188775
links,urban central gas CHP,0.11240743217820329,0.04778872825873934,0.03039873241352045
links,urban central gas CHP CC,0.048559178035892055,0.020856271156989445,0.00994015415906687
links,urban central gas boiler,150331.00834069913,246940.58138239264,239342.58549807844
links,urban central oil boiler,28908.781726632304,18581.16514018006,
links,urban central resistive heater,20510.364162471393,89764.12541336528,111040.93212602331
links,urban central solid biomass CHP,78748.18018982225,69137.13387082254,71365.22830730054
links,urban central solid biomass CHP CC,0.043874536519985796,0.03245416678703949,1999.480520276836
links,urban central water tanks charger,136006.76377339498,168454.5224998618,401116.760514028
links,urban central water tanks discharger,114196.0505901896,160945.35243379293,346845.4802695153
storage_units,PHS,54333.903,54333.903,54333.903
storage_units,hydro,101062.89243443416,101062.89243443416,101062.89243443416
stores,H2 Store,355661.2330299336,799669.6384909636,15198240.136430386
stores,ammonia store,1516593.1899549523,7747560.828024306,20579518.22591518
stores,battery,0.31289513487889314,0.35509205997744553,0.5154924553526978
stores,battery storage,960172.853600374,2304414.848640898,3264587.7022412717
stores,biogas,345558496.08400273,345558496.08400273,345558496.08400273
stores,co2,2399338341.173428,1578026370.5411417,507552341.40274876
stores,co2 stored,3878.5465965845697,1004657.579767411,200000000.0061068
stores,coal,3761011238.055444,4542417622.931412,6395335309.33929
stores,gas,147835715629.95676,174813495656.43158,245189893497.2598
stores,home battery,0.4656762308852632,268088.43196096685,1071482.6848814664
stores,lignite,3720723590.09341,4526066699.566836,6391903075.15834
stores,methanol,3277464243.5029106,4163647241.216562,5005280051.337602
stores,oil,3907639204.656965,4830163533.962292,8692257259.430315
stores,residential rural water tanks,66171.96987185604,100493.88775352242,110468.47938548912
stores,residential urban decentral water tanks,222259.63162324295,226415.45721875876,235312.32811632933
stores,services rural water tanks,41080.197695221956,62343.1729582493,67150.93479658068
stores,services urban decentral water tanks,156079.7237307177,157241.2226255926,160054.44369379242
stores,solid biomass,1185645568.5377064,1185645568.5377064,1185645568.5377064
stores,uranium,6338064921.797694,9949169824.513655,16564775545.099491
stores,urban central water tanks,1602122.0038461345,3945364.921770619,45430198.65063283
