cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
co2,links,lignite2,209298780.6467397,2720057.3776076366,391363.4802777644
co2,links,nuclear (SMR)2,-0.0,-0.0,-0.0
co2,links,nuclear2,-0.0,-0.0,-0.0
co2,links,oil2,4445.035417408931,5.410210444286723,1.343998832086157
co2,links,process emissions CC1,24.616565399800216,2215783.8227634723,7639997.503731978
co2,links,process emissions1,169709753.8343914,117254323.544708,49.92546348664591
co2,links,residential rural gas boiler2,81493939.95408122,54208228.13824824,34551111.764926575
co2,links,residential rural micro gas CHP3,3.914385313353213,1.5591328737859804,0.6498139318627199
co2,links,residential rural oil boiler2,21924924.132784136,24491645.71139361,6548764.208005024
co2,links,residential urban decentral gas boiler2,141987663.63071004,102425835.27899632,53427273.88840464
co2,links,residential urban decentral micro gas CHP3,3.9505462973092755,1.5679906389872798,0.652669286810027
co2,links,residential urban decentral oil boiler2,85887677.66781588,48763983.05557017,3115759.5546488133
co2,links,services rural gas boiler2,52773685.87866374,24186478.78241385,14468912.997444784
co2,links,services rural micro gas CHP3,3.943265387359066,1.5562749810817924,0.6488164552190463
co2,links,services rural oil boiler2,9717074.791099526,8474981.313823912,1978099.8475997008
co2,links,services urban decentral gas boiler2,59556773.519367754,44291301.59931271,22761941.294460133
co2,links,services urban decentral micro gas CHP3,3.95344143714798,1.5603692362398618,0.6521513693869978
co2,links,services urban decentral oil boiler2,33397261.859327674,17815218.985004973,966527.089752078
co2,links,solid biomass for industry CC2,-105.13548738270819,-128.70188347869063,-187658777.26684576
co2,links,solid biomass2,-0.0,-0.0,-0.0
co2,links,urban central gas CHP CC3,3.944273787735802,0.8768247867905222,0.22668268623053278
co2,links,urban central gas CHP3,54.75373635362517,26.695064021094147,7.311307176284725
co2,links,urban central gas boiler2,70361912.7851513,110841632.30541192,53291439.970403984
co2,links,urban central oil boiler2,213878.59571663509,9789.892962603353,
co2,links,urban central solid biomass CHP CC3,-90.39432211285589,-77.93951161216978,-3978606.358343592
co2,loads,agriculture machinery oil emissions,22271524.268668994,22271524.268668994,22271524.268668994
co2,loads,land transport oil emissions,550979384.6908832,236134022.01037848,
co2,loads,oil emissions,319205159.3396733,319205159.3396733,319205159.3396733
co2,loads,shipping methanol emissions,40651121.77198848,94852617.46797307,135503739.23996156
co2,loads,shipping oil emissions,113078628.20718476,48462269.23165062,
co2,stores,co2,-2399338341.173425,-1578026370.5411432,-507552341.40274876
co2 stored,links,BioSNG2,16.230965223287694,9.660680792762822,128231.70194562072
co2 stored,links,CO2 pipeline0,5.72860662719119,3.6617592385207933,-19146689.18897559
co2 stored,links,CO2 pipeline1,-5.72860662719119,-3.6617592385207933,19146689.18897559
co2 stored,links,DAC1,27.79597802489803,9.000843741336194,8.346002619124777
co2 stored,links,Fischer-Tropsch2,-44.12590699388491,-21.44763895281511,-9707553.267280713
co2 stored,links,SMR CC3,40654435.941036016,53736654.00384125,2866483.59548222
co2 stored,links,Sabatier2,-9.693195795234365,-3.101269836380204,-3.849951045083265
co2 stored,links,biomass to liquid3,10.32510797711745,6.754549181790133,7.185476763722808
co2 stored,links,coal3,49.68755701224786,15.509621646651782,5.729160252472563
co2 stored,links,gas for industry CC3,57.980717925267726,49.82483402364704,5419222.8176110685
co2 stored,links,helmeth2,-7.805453178290038,-3.871344490756221,-3.5202869704709383
co2 stored,links,methanolisation3,-40651121.77040489,-94852617.46601579,-135503739.23977035
co2 stored,links,process emissions CC2,221.549088598202,42099892.63250594,145159952.57090744
co2 stored,links,solid biomass for industry CC3,105.13548738270819,128.70188347869063,187658777.26684576
co2 stored,links,urban central gas CHP CC4,35.498464089622225,16.659670949019908,4.306971038380119
co2 stored,links,urban central solid biomass CHP CC4,90.39432211285589,77.93951161216978,3978606.358343592
co2 stored,stores,co2 stored,-3867.1432881119513,-984214.8014223735,-199999999.99987853
coal,generators,coal,416339602.4768277,116124.21064052921,686563.7798100021
coal,links,coal0,-416339602.4775293,-116124.21079827564,-686563.7802063188
coal,stores,coal,0.0,0.0,0.0
gas,generators,gas,3752096146.977647,3462230590.9505453,1052373046.6213999
gas,links,BioSNG1,96.30286144193765,61.62068610841765,437281.4391045061
gas,links,CCGT0,-782717346.2978688,-632286925.1236748,-94496855.0346783
gas,links,OCGT0,-93.68424901375757,-30.114203913249764,-4860.225018301829
gas,links,SMR CC0,-216132035.83751205,-284987160.74719584,-15239146.898308737
gas,links,SMR0,-320772653.190634,-478735265.28485966,-9706132.516240826
gas,links,Sabatier1,48.95553431936547,15.506349181901019,19.249755225416322
gas,links,biogas to gas1,101.22883148039878,114.95152635640073,345558496.0581533
gas,links,gas for industry CC0,-325.3687874594148,-262.23596854551073,-28522225.355847728
gas,links,gas for industry0,-381089707.16855866,-381209763.9878155,-355619997.179571
gas,links,gas pipeline new0,17903594.787916116,-3087101.5507791117,-10711422.113980968
gas,links,gas pipeline new1,-17903594.787916116,3087101.5507791117,10711422.113980968
gas,links,gas pipeline0,-1438511473.7078347,-1330483864.5120308,-1363720524.2416055
gas,links,gas pipeline1,1438511473.7078347,1330483864.5120308,1363720524.2416055
gas,links,helmeth1,39.421480698434536,19.356722453781103,17.60143485235469
gas,links,residential rural gas boiler0,-411585555.3236425,-271326438.1414314,-173014972.45800295
gas,links,residential rural micro gas CHP0,-19.769622794713197,-7.795664368929902,-3.2490696593135993
gas,links,residential urban decentral gas boiler0,-717109412.2763133,-512670784.72314596,-267535712.68400863
gas,links,residential urban decentral micro gas CHP0,-19.952254026814522,-7.839953194936398,-3.2633464340501352
