cluster,,37m,37m,37m
ll,,v3.0,v3.0,v3.0
opt,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
links,services urban decentral water tanks discharger,-1444798.0449281568,-1609669.84344053,-1749724.3848368227
links,solid biomass,-58.61166753364423,-29.794016781329027,-14.629155704995618
links,solid biomass for industry,0.0,0.0,0.0
links,solid biomass for industry CC,-31.856342569677963,-36.94455053713506,-53868436.05610365
links,solid biomass transport,0.0,0.0,0.0
links,urban central air heat pump,158385364.67810524,163318792.12620747,514041336.82816887
links,urban central gas CHP,4.977612395784078,5.339012804218825,2.193392152885419
links,urban central gas CHP CC,4.768985579716912,4.068467010708023,1.5187739977445678
links,urban central gas boiler,84576440.62053537,133168383.47328947,64000831.47298719
links,urban central oil boiler,130689.72145890069,5982.077730163312,
links,urban central resistive heater,-92063.1725783702,-690088.197383821,-1079271.2108267993
links,urban central solid biomass CHP,24742435.041798115,25492710.427164435,23535369.511220634
links,urban central solid biomass CHP CC,28.86904810173965,23.74539147517885,1226987.7421826664
links,urban central water tanks charger,-8740898.765033148,-16991009.19448942,-54406026.333316565
links,urban central water tanks discharger,-7156849.817101046,-13879556.747892618,-39866569.75281608
loads,H2 for industry,1560000.0000000005,-38310000.0,-79670000.00000001
loads,NH3,-92270000.0,-92270000.0,-92270000.0
loads,agriculture electricity,-44861105.05639167,-44861105.05639167,-44861105.05639167
loads,agriculture heat,-189457576.90336192,-189457576.90336192,-189457576.90336192
loads,agriculture machinery oil,-86625920.92053285,-86625920.92053285,-86625920.92053285
loads,agriculture machinery oil emissions,22271524.268668994,22271524.268668994,22271524.268668994
loads,electricity,-1843473885.2076066,-1843473885.2076066,-1843473885.2076066
loads,gas for industry,-381090000.0,-381210000.0,-381290000.0
loads,industry electricity,-1691240000.0,-1697710000.0,-1700859999.9999998
loads,kerosene for aviation,-612245730.6093862,-612245730.6093862,-612245730.6093862
loads,land transport EV,-229613012.4566107,-551071229.8958657,-780684242.3524764
loads,land transport fuel cell,-91845204.98264429,-183690409.96528858,-275535614.94793284
loads,land transport oil,-2143054782.928367,-918452049.8264428,
loads,land transport oil emissions,550979384.6908832,236134022.01037848,
loads,low-temperature heat for industry,-59279999.99999999,-59190000.0,-59080000.00000001
loads,naphtha for industry,-728419999.9999999,-728419999.9999999,-728419999.9999999
loads,oil emissions,319205159.3396733,319205159.3396733,319205159.3396733
loads,process emissions,169710000.0,161570000.0,152800000.0
loads,residential rural heat,-591972280.5574089,-540510136.795846,-489047993.03428304
loads,residential urban decentral heat,-1379111741.1254559,-1013023030.4460248,-618783098.2079748
loads,services rural heat,-225607760.9561478,-205096392.53046513,-184585024.1047824
loads,services urban decentral heat,-558526796.3319428,-407689514.1507519,-246631038.59930488
loads,shipping methanol,-163909388.09683466,-382455238.89261425,-546364626.9894488
loads,shipping methanol emissions,40651121.77198848,94852617.46797307,135503739.23996156
loads,shipping oil,-439823524.7265065,-188495796.31135988,
loads,shipping oil emissions,113078628.20718476,48462269.23165062,
loads,solid biomass for industry,-702380000.0,-702380000.0,-702380000.0
loads,urban central heat,-789610091.8170265,-1119160600.320689,-1492839385.9925573
storage_units,PHS,-19150582.302196518,-26222884.84348046,-27269044.841354672
storage_units,hydro,341696191.3057458,341696020.32700235,341695956.40796334
stores,H2 Store,-2.1016424104486342e-10,5.500730448394775e-10,-1.1241171619848916e-09
stores,ammonia store,0.0,-1.1641532182693481e-10,-4.0745362639427185e-09
stores,battery,1.6276436575575134e-05,8.338986584190307e-06,1.0904958511116346e-05
stores,battery storage,5.9689614545277436e-05,2.63362272789891e-05,3.024747820745688e-05
stores,biogas,101.22883148039878,114.95152635640073,345558496.0581533
stores,co2,-2399338341.173425,-1578026370.5411432,-507552341.40274876
stores,co2 stored,-3867.1432881119513,-984214.8014223735,-199999999.99987853
stores,coal,0.0,0.0,0.0
stores,gas,0.0,0.0,0.0
stores,home battery,1.9637854268895398e-05,-5.452418434968571e-05,0.0011102797033038865
stores,lignite,0.0,0.0,0.0
stores,methanol,0.0,0.0,0.0
stores,oil,0.0,0.0,0.0
stores,residential rural water tanks,-524960.9671932923,-1143724.5808811125,-1776568.9632739616
stores,residential urban decentral water tanks,-2726356.3067501667,-3081045.926874858,-4130677.391566527
stores,services rural water tanks,-245422.16302206749,-573720.7390713244,-992634.6388503968
stores,services urban decentral water tanks,-1335515.4478142364,-1583202.8782707995,-2452862.8303777077
stores,solid biomass,1185645568.4998987,1185645568.5236256,1185645568.5301895
stores,uranium,0.0,0.0,0.0
stores,urban central water tanks,-959339.7403685263,-2062588.1515178422,-34629225.23134891
