name,total residential space,electricity residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,electricity residential,derived heat residential,thermal uses residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,derived heat services,thermal uses services,total agriculture electricity,total agriculture heat,total agriculture machinery,total agriculture,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,district heat share,total international navigation
AL0 0,2.7488162085994774,0.3356544122979875,0.8186880852468945,0.2935681630661989,0.5876126186307569,0.4133041142766344,5.795,2.7119444444444447,0.0,0.0,0.7015204014345263,0.2133943851056297,0.1608523028156913,0.0898053365339166,0.215106649661695,0.1666272170319331,1.9011111111111112,1.2980555555555555,0.0,0.0,0.0,0.0,0.0,0.0,8.658611111111112,0.0,0.1129399273411546,5.012148472073846,0.0,0.4188389310461053,0.0,1.027023388363935,0.0,2.087660392286071,0.0355555555555555,0.0,0.0270001249548337,0.0,0.0085554306007217,0.0,0.2229887103299017,0.0159001785589871,0.0,0.2229887103299017,0.0,0.0159001785589871,0.0,0.2388888888888889,0.2377777777777777,0.0,0.0
AT0 0,46.09595316297465,3.7088411225845146,9.130088223854552,1.9169282473111815,3.3241823708759717,2.1859785517387285,68.12759623448028,17.89608727824309,6.705828826078094,58.611179779652815,19.128966573551367,0.6672257209178536,3.401969524184086,0.1050013412160685,3.4192218216867016,2.036238290254376,35.02192174891562,12.04308062090128,10.588603994087723,26.421270067764656,0.6437819867533202,3.3380974776703938,1.7539298226462323,5.735809287069947,84.44686747629804,0.0230143488426665,0.5770811056953263,48.1396891335453,0.0050823029378907,3.0957840148665956,0.0172615193302672,5.3618371595975685,0.0006705265745085,27.272476062593228,3.4674938979041348,2.9530470623465117,2.3133298743867328,1.9446718379317869,1.154164023517402,1.008375224414725,8.337414321498516,0.3456671637923202,0.3175408592609383,8.019873462237577,0.0828777111869926,0.2627894526053275,0.4004185704479309,8.282662914842904,0.0580559181619677,0.14,0.2361111111111111
BA0 0,4.521581968627475,0.5627703651445003,1.353670546906757,0.4922070328004311,0.978915195284958,0.6929606726000438,9.604722222222223,4.546944444444445,0.0,0.0,1.7557982432118704,0.2158498892997825,0.3149789075223063,0.0908387160223561,0.3214883249893673,0.1685445769009821,3.215522170273163,1.3129921287898147,0.0,0.0,0.0,0.0,0.0,0.0,6.0156632317881025,0.0,0.0784662296976424,3.4822440791948663,0.0,0.2909928538426024,0.0,0.7135355493260557,0.0,1.450424519726936,0.1388888888888889,0.1388888888888889,0.1054692381048194,0.1097829232524015,0.0334196507840694,0.0291059656364874,0.1395651163553661,0.0099516709494981,0.0,0.1395651163553661,0.0,0.0099516709494981,0.0,0.1495167873048642,0.0438125739494019,0.08,0.0
BE0 0,60.07759573514164,2.4574590580229816,14.269796248030486,1.768752594375839,5.3150528341341285,1.869339247170565,92.39298733318694,19.25697850235203,0.1502784108774821,79.74599606385434,30.52387518704442,5.98319045991244,4.406024721977337,1.1459566205952985,4.257282425660194,1.6251176809076644,51.73931110007098,21.64930514534092,1.0377790287661888,40.11918950571864,0.6735296575315048,5.349606793884193,1.9354834277204307,7.958619879136127,97.92152785552094,0.0037235863529514,0.6958590248778924,57.6774759076758,0.0016216463648957,4.3240869846997185,0.0021019399880556,11.321734111097756,0.0,23.902371827169755,2.21379669097965,1.5511036045791369,1.767094793484459,1.3713338815623115,0.4467018974951906,0.1797697230168255,13.926425532583533,3.226394430241005,0.0,13.926425532583533,0.6062760498029495,2.620118380438056,0.6062760498029495,16.546543913021587,1.9294409331483928,0.0099116139018872,78.50166666666667
BG0 0,15.34450879546816,1.194803251163305,5.010635660353494,2.6674817677458496,2.9381856688027854,2.4998424360384854,27.680373902007464,10.91200314004214,4.1797076855536455,23.40169700086206,4.799509529916545,1.9213248265229492,1.439396322408634,0.8415780032415145,1.6352650929946666,1.3509269228092395,12.256671707192313,8.514799907362562,1.72584937450196,8.164882097871613,0.2411544187850093,1.3111580530137128,0.8304660005944632,2.382778472393185,28.905658327361348,0.0061865170685394,0.2369190243546595,18.58584785341711,0.0,3.0395474242667904,0.0061865170685394,1.786688905128767,0.0,5.256655120194014,0.4644400775014745,0.253052966074714,0.2928908191756684,0.174295046050243,0.1715492583258061,0.078757920024471,2.195900136902935,0.0260443075415047,0.0789871111111105,2.1169130257918245,0.0151817923295495,0.0108625152119552,0.0941689034406599,2.1277755410037797,0.0,0.16,0.8744444444444445
CH0 0,41.388888888888886,3.555555555555556,8.777777777777779,2.361111111111111,2.5833333333333335,1.3611111111111112,62.05555555555556,17.694444444444446,0.0,0.0,17.27777777777778,0.888888888888889,2.7777777777777777,0.1944444444444444,0.6666666666666666,0.6666666666666666,35.38888888888889,16.444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,55.666666666666664,0.0,0.7260967386085588,32.223366391954016,0.0,2.6927375375072824,0.0,6.602787431527142,0.0,13.421678567069666,3.083333333333333,3.083333333333333,2.3414170859269907,2.437180896203313,0.7419162474063419,0.6461524371300204,16.895389759843553,1.2157213512675575,0.8194594802459856,16.075930279597568,0.0694294086429033,1.1462919426246545,0.888888888888889,17.22222222222222,0.4444444444444445,0.04,0.0
CZ0 0,58.59225852701038,2.4397371460031145,9.920000585931934,2.8104727119514794,5.1398761189566375,2.795398161822098,79.39338451146106,14.199960862984168,12.911903976097026,73.67973401637705,22.226676229531854,4.123665807848028,2.987144938993896,0.974060500075843,3.4761853439128725,1.7400914785868866,36.09634123035027,14.425308638984422,5.947460541150703,28.9685925795637,0.7502833058403744,3.337334059897441,2.362987517719688,6.450604883457503,65.17743647357334,0.1146128622285771,0.6745219969207359,32.94627378632074,0.0002015808401501,3.988097193019697,0.114411281388427,5.405543694495818,0.0,22.16299980281634,2.582197066119628,1.503311826082827,1.933497057324229,1.0689062063545154,0.6487000087953989,0.4344056197283119,4.06708233878091,0.0585382753302091,0.1090229553187289,3.9580593834621816,0.0301369434702026,0.0284013318600064,0.1391598987889316,3.986460715322188,0.0358332110564349,0.1837279295500325,0.0
DE0 0,422.637005919764,20.13959672172813,86.70647136646228,9.410722608372032,40.90856738368676,15.81902745537792,634.5784032356139,136.5998807002577,45.65193248491252,551.4743466376403,172.28581851293262,6.129155246337327,37.97466554752434,5.9552147050509925,46.22787655969591,21.25591844276544,358.9476566306718,138.0047914499899,23.983059770905506,261.1975741717025,7.172357267965595,5.5214722244297185,1.3577309259142931,14.05156041830961,591.9194716582508,0.0505042005430468,5.207215732491667,383.65594906711345,0.0287793001807066,19.499261748767733,0.0141396557610235,28.80429321088056,0.0075852446013166,154.75275189899736,16.33312001055445,12.084157080207738,11.993787447599404,8.46906597723943,4.339332562955044,3.615091102968311,84.94350522962422,12.524776804663864,8.43224142805425,76.51126380156997,2.1094557231162954,10.415321081547573,10.541697151170544,86.92658488311754,3.57499889114527,0.0856864750371445,31.408611111111114
DK0 0,22.516922163714476,0.44374560752253955,4.706221575899787,0.2991958529700906,1.9234949837824273,1.4724001214411397,33.352867240578405,6.592293652666812,12.222148150548879,29.174644923979056,7.482148230929068,0.8075204801040115,1.2417523846105374,0.26611861171800627,1.3569770736611881,1.057676268424663,14.855056252935356,6.946424825679798,5.677700915570758,10.317125912652388,1.057307566082057,3.180537769432044,2.043603007741121,6.281448343255223,30.369237622810253,0.0011155096953561873,0.17253973752298338,16.68200775692041,0.0011155096953561873,2.5953439729946033,0.0,4.325537125464826,0.0,6.593809029907427,0.8696840218448395,0.2588034118098379,0.7814514227846533,0.23262499385833071,0.08823259906018611,0.026178417951507157,6.721337272919592,0.19574082009102836,0.49361489930314617,6.227722373616446,0.07713792908447935,0.11860289100654893,0.5707528283876256,6.346325264622996,1.336694483178978,0.2955180829898997,5.270800259540813
DK1 0,12.01873516124869,0.23685568111858735,2.5120143117092506,0.15970014427576718,1.0266934630757594,0.7859150101566192,17.80257867031113,3.5187327531052284,6.523749589529165,15.57239165350161,3.9937055948816833,0.43102581769787807,0.6628034212656845,0.1420446849912754,0.7243062772807337,0.5645501132041395,7.929102637179828,3.7077554245804714,3.0305555587428126,5.50691622362343,0.5643533129586666,1.6976583585989746,1.0908028702231847,3.3528145417808264,16.210022905607204,0.0005954195471660125,0.09209559792420642,8.904264611769127,0.0005954195471660125,1.385302646470553,0.0,2.308818441664615,0.0,3.519541607778701,0.46420651350683817,0.13814009049525022,0.41711107866086705,0.12416697862800467,0.04709543484597107,0.013973111867245546,3.5876116649205483,0.10447951366598365,0.26347414194695096,3.3241375229735977,0.04117349315385305,0.06330602051213056,0.3046476351008041,3.3874435434857286,0.7134801491972704,0.15773708098254602,2.8133664071258533
